Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
Adams,-89.7672,43.9738,991,1997-07,4.68,58.6,69.2,79.7,61.2,0.54,16.32
Adams,-89.7672,43.9738,991,1997-08,3.94,54.6,64.6,74.6,58.4,0.34,12.69
Adams,-89.7672,43.9738,991,1997-09,2.27,49.3,60.3,71.2,53.8,0.31,11.61
Adams,-89.7672,43.9738,991,1997-10,1.69,37.5,48.4,59.3,39.8,0.56,9.68
Adams,-89.7672,43.9738,991,1997-11,0.34,23.1,31.0,39.0,24.7,0.25,3.44
Adams,-89.7672,43.9738,991,1997-12,0.63,20.6,27.2,33.9,22.5,0.26,2.51
Adams,-89.7672,43.9738,991,1998-01,1.82,14.1,21.0,27.9,17.9,0.13,1.41
Adams,-89.7672,43.9738,991,1998-02,1.37,24.5,31.8,39.2,26.7,0.19,3.17
Adams,-89.7672,43.9738,991,1998-03,4.27,23.3,32.1,40.8,24.8,0.35,4.52
Adams,-89.7672,43.9738,991,1998-04,2.57,35.2,47.3,59.4,32.0,0.98,11.75
Adams,-89.7672,43.9738,991,1998-05,3.48,50.2,62.3,74.5,50.6,1.05,17.53
Adams,-89.7672,43.9738,991,1998-06,8.09,53.5,64.3,75.2,56.3,0.03,14.81
Adams,-89.7672,43.9738,991,1998-07,1.58,58.6,70.5,82.5,60.2,0.55,21.16
Adams,-89.7672,43.9738,991,1998-08,4.98,58.7,69.2,79.7,62.0,0.30,15.38
Adams,-89.7672,43.9738,991,1998-09,2.04,50.7,63.9,77.0,54.8,0.35,17.21
Adams,-89.7672,43.9738,991,1998-10,2.41,39.4,49.7,60.1,43.1,0.31,7.94
Adams,-89.7672,43.9738,991,1998-11,1.76,30.1,38.5,46.9,30.6,0.53,5.04
Adams,-89.7672,43.9738,991,1998-12,0.32,16.6,27.3,38.1,19.6,0.29,3.83
Adams,-89.7672,43.9738,991,1999-01,2.02,3.2,12.4,21.6,8.4,0.12,1.50
Adams,-89.7672,43.9738,991,1999-02,1.20,19.1,27.7,36.4,20.8,0.23,3.27
Adams,-89.7672,43.9738,991,1999-03,0.31,20.9,32.8,44.6,20.1,0.57,7.07
Adams,-89.7672,43.9738,991,1999-04,5.15,36.8,47.8,58.7,35.3,0.79,10.32
Adams,-89.7672,43.9738,991,1999-05,3.39,47.9,59.1,70.3,47.5,0.96,14.44
Adams,-89.7672,43.9738,991,1999-06,3.34,55.1,66.5,77.9,58.0,0.45,16.05
Adams,-89.7672,43.9738,991,1999-07,10.61,62.8,73.6,84.3,65.1,0.57,19.24
Adams,-89.7672,43.9738,991,1999-08,3.17,56.4,66.7,77.1,59.8,0.38,13.86
Adams,-89.7672,43.9738,991,1999-09,1.19,45.5,58.3,71.1,50.1,0.25,14.15
Adams,-89.7672,43.9738,991,1999-10,1.44,34.1,46.5,58.9,35.5,0.59,10.24
Adams,-89.7672,43.9738,991,1999-11,1.47,28.5,41.0,53.5,30.1,0.55,8.33
Adams,-89.7672,43.9738,991,1999-12,0.62,14.0,23.1,32.2,17.0,0.27,2.70
Adams,-89.7672,43.9738,991,2000-01,0.88,6.6,16.4,26.2,10.4,0.24,2.00
Adams,-89.7672,43.9738,991,2000-02,0.80,16.7,26.9,37.1,20.0,0.35,3.78
Adams,-89.7672,43.9738,991,2000-03,1.11,28.1,39.6,51.1,28.9,0.41,7.95
Adams,-89.7672,43.9738,991,2000-04,3.12,31.9,43.9,55.8,29.5,0.78,10.75
Adams,-89.7672,43.9738,991,2000-05,4.82,47.3,58.5,69.7,48.1,0.62,14.02
Adams,-89.7672,43.9738,991,2000-06,8.45,54.8,64.4,73.9,56.1,0.69,13.27
Adams,-89.7672,43.9738,991,2000-07,2.95,58.3,68.6,78.8,59.7,0.75,16.32
Adams,-89.7672,43.9738,991,2000-08,4.33,58.7,68.9,79.1,61.1,0.55,16.08
Adams,-89.7672,43.9738,991,2000-09,3.97,48.7,59.6,70.5,51.1,0.70,12.72
Adams,-89.7672,43.9738,991,2000-10,0.54,39.3,51.0,62.8,41.7,0.36,10.62
Adams,-89.7672,43.9738,991,2000-11,1.98,25.3,33.0,40.6,27.0,0.28,3.96
Adams,-89.7672,43.9738,991,2000-12,1.82,-1.9,8.3,18.6,4.9,0.12,1.23
Adams,-89.7672,43.9738,991,2001-01,1.00,9.7,19.7,29.7,15.9,0.07,1.88
Adams,-89.7672,43.9738,991,2001-02,1.24,6.6,16.4,26.3,10.5,0.23,1.79
Adams,-89.7672,43.9738,991,2001-03,0.62,19.3,28.9,38.5,19.8,0.36,4.34
Adams,-89.7672,43.9738,991,2001-04,4.02,37.5,48.5,59.6,35.6,1.03,10.51
Adams,-89.7672,43.9738,991,2001-05,5.59,47.3,58.2,69.1,47.7,0.58,13.58
Adams,-89.7672,43.9738,991,2001-06,6.90,55.2,65.2,75.1,56.5,0.62,15.38
Adams,-89.7672,43.9738,991,2001-07,2.07,59.1,71.7,84.3,59.8,0.90,23.34
Adams,-89.7672,43.9738,991,2001-08,4.81,60.0,71.1,82.3,62.4,0.53,19.01
Adams,-89.7672,43.9738,991,2001-09,4.55,46.8,57.3,67.8,51.2,0.16,10.31
Adams,-89.7672,43.9738,991,2001-10,1.61,36.0,46.5,57.0,38.3,0.47,8.22
Adams,-89.7672,43.9738,991,2001-11,2.05,34.9,45.0,55.2,36.0,0.64,7.49
Adams,-89.7672,43.9738,991,2001-12,1.01,20.2,28.4,36.7,23.0,0.24,3.11
Adams,-89.7672,43.9738,991,2002-01,0.43,16.7,25.4,34.2,18.7,0.36,3.36
Adams,-89.7672,43.9738,991,2002-02,2.03,17.8,28.0,38.1,20.5,0.31,4.00
Adams,-89.7672,43.9738,991,2002-03,1.61,16.8,26.9,37.0,17.4,0.38,4.26
Adams,-89.7672,43.9738,991,2002-04,3.80,34.1,44.3,54.5,34.0,0.73,9.31
Adams,-89.7672,43.9738,991,2002-05,1.81,41.6,52.9,64.2,40.2,1.00,12.47
Adams,-89.7672,43.9738,991,2002-06,7.62,55.6,67.1,78.6,58.6,0.16,17.18
Adams,-89.7672,43.9738,991,2002-07,4.38,60.2,73.2,86.1,63.8,0.19,22.94
Adams,-89.7672,43.9738,991,2002-08,4.30,55.5,67.9,80.3,60.7,0.02,17.52
Adams,-89.7672,43.9738,991,2002-09,3.05,48.8,62.1,75.4,55.3,0.00,15.44
Adams,-89.7672,43.9738,991,2002-10,2.69,33.3,42.8,52.4,36.8,0.08,6.19
Adams,-89.7672,43.9738,991,2002-11,0.16,21.1,31.8,42.5,24.5,0.18,4.90
Adams,-89.7672,43.9738,991,2002-12,0.30,15.6,25.0,34.4,18.5,0.30,2.90
Adams,-89.7672,43.9738,991,2003-01,0.67,3.3,13.4,23.6,5.5,0.23,2.37
Adams,-89.7672,43.9738,991,2003-02,0.46,-1.0,12.7,26.5,8.2,0.13,2.28
Adams,-89.7672,43.9738,991,2003-03,1.81,18.4,30.2,42.0,21.1,0.20,5.88
Adams,-89.7672,43.9738,991,2003-04,1.43,30.2,43.3,56.4,29.1,1.02,11.95
Adams,-89.7672,43.9738,991,2003-05,5.71,41.7,54.3,66.8,41.5,0.49,14.34
Adams,-89.7672,43.9738,991,2003-06,3.19,50.7,63.6,76.6,52.7,0.05,18.23
Adams,-89.7672,43.9738,991,2003-07,3.82,56.4,69.2,82.1,59.5,0.23,21.02
Adams,-89.7672,43.9738,991,2003-08,1.65,56.5,70.6,84.7,61.4,0.01,23.08
Adams,-89.7672,43.9738,991,2003-09,2.75,47.0,59.7,72.4,50.8,0.33,16.32
Adams,-89.7672,43.9738,991,2003-10,1.13,32.8,46.4,60.0,37.1,0.05,11.32
Adams,-89.7672,43.9738,991,2003-11,3.89,24.9,33.9,42.8,26.4,0.37,4.27
Adams,-89.7672,43.9738,991,2003-12,1.65,16.3,25.4,34.4,18.8,0.28,3.15
Adams,-89.7672,43.9738,991,2004-01,0.87,1.3,10.9,20.5,4.6,0.19,1.67
Adams,-89.7672,43.9738,991,2004-02,1.37,9.9,20.6,31.4,15.1,0.18,2.79
Adams,-89.7672,43.9738,991,2004-03,2.95,25.5,35.0,44.4,27.9,0.23,4.53
Adams,-89.7672,43.9738,991,2004-04,1.38,30.6,44.8,59.1,31.8,0.47,12.00
Adams,-89.7672,43.9738,991,2004-05,9.23,42.1,54.1,66.1,45.3,0.44,11.24
Adams,-89.7672,43.9738,991,2004-06,7.26,52.4,63.2,74.0,54.0,0.59,14.77
Adams,-89.7672,43.9738,991,2004-07,4.08,57.4,68.1,78.7,58.8,0.72,16.85
Adams,-89.7672,43.9738,991,2004-08,7.15,52.6,63.4,74.2,54.8,0.45,13.96
Adams,-89.7672,43.9738,991,2004-09,0.72,49.0,62.9,76.8,54.1,0.19,17.26
Adams,-89.7672,43.9738,991,2004-10,3.90,36.9,48.3,59.7,40.1,0.25,9.42
Adams,-89.7672,43.9738,991,2004-11,1.63,28.8,38.2,47.5,29.4,0.48,5.83
Adams,-89.7672,43.9738,991,2004-12,1.71,12.5,21.7,30.9,15.5,0.27,2.38
Adams,-89.7672,43.9738,991,2005-01,1.62,6.0,15.2,24.3,9.0,0.30,1.75
Adams,-89.7672,43.9738,991,2005-02,1.51,17.4,26.0,34.7,20.0,0.27,3.11
Adams,-89.7672,43.9738,991,2005-03,0.93,16.7,28.3,39.9,17.8,0.47,5.58
Adams,-89.7672,43.9738,991,2005-04,1.27,35.6,49.2,62.7,32.6,1.24,13.95
Adams,-89.7672,43.9738,991,2005-05,2.48,43.3,53.9,64.6,41.6,0.90,12.73
Adams,-89.7672,43.9738,991,2005-06,3.24,59.7,71.7,83.6,59.8,1.30,22.25
Adams,-89.7672,43.9738,991,2005-07,7.99,60.5,72.9,85.3,59.9,1.63,25.21
Adams,-89.7672,43.9738,991,2005-08,1.13,57.7,69.8,81.8,59.2,0.84,20.98
Adams,-89.7672,43.9738,991,2005-09,3.63,51.7,64.8,78.0,55.0,0.63,18.75
Adams,-89.7672,43.9738,991,2005-10,1.23,38.4,50.3,62.3,42.6,0.33,10.38
Adams,-89.7672,43.9738,991,2005-11,2.91,25.3,35.1,44.9,29.2,0.20,4.79
Adams,-89.7672,43.9738,991,2005-12,0.75,9.5,17.6,25.8,14.7,0.01,1.51
Adams,-89.7672,43.9738,991,2006-01,1.22,21.6,28.9,36.3,24.0,0.28,2.71
Adams,-89.7672,43.9738,991,2006-02,0.72,8.2,19.1,30.0,10.6,0.31,3.04
Adams,-89.7672,43.9738,991,2006-03,1.10,22.3,32.6,42.9,23.0,0.44,5.38
Adams,-89.7672,43.9738,991,2006-04,3.04,36.4,49.8,63.2,33.7,0.96,14.07
Adams,-89.7672,43.9738,991,2006-05,4.69,47.6,57.4,67.3,47.2,1.02,12.49
Adams,-89.7672,43.9738,991,2006-06,1.11,53.7,66.5,79.3,53.7,1.05,21.26
Adams,-89.7672,43.9738,991,2006-07,2.74,61.5,74.4,87.3,61.5,1.16,27.27
Adams,-89.7672,43.9738,991,2006-08,5.20,58.4,69.7,80.9,59.8,0.83,19.48
Adams,-89.7672,43.9738,991,2006-09,3.07,45.8,57.0,68.3,49.4,0.26,12.48
Adams,-89.7672,43.9738,991,2006-10,2.80,33.1,43.6,54.1,34.8,0.51,8.04
Adams,-89.7672,43.9738,991,2006-11,1.40,28.4,37.6,46.7,29.8,0.36,5.02
Adams,-89.7672,43.9738,991,2006-12,1.26,20.2,28.1,35.9,21.7,0.31,2.81
Adams,-89.7672,43.9738,991,2007-01,1.14,12.4,21.6,30.8,15.8,0.22,2.47
Adams,-89.7672,43.9738,991,2007-02,1.74,2.8,12.4,22.0,3.3,0.27,2.35
Adams,-89.7672,43.9738,991,2007-03,1.11,24.5,35.6,46.8,26.2,0.48,7.11
Adams,-89.7672,43.9738,991,2007-04,2.47,32.4,43.5,54.6,29.7,0.74,10.87
Adams,-89.7672,43.9738,991,2007-05,2.67,48.1,60.8,73.6,45.1,1.81,18.77
Adams,-89.7672,43.9738,991,2007-06,1.10,55.7,68.7,81.6,55.7,1.20,22.93
Adams,-89.7672,43.9738,991,2007-07,4.25,58.0,70.9,83.8,57.7,1.32,24.22
Adams,-89.7672,43.9738,991,2007-08,9.55,59.6,69.7,79.8,60.6,0.78,17.88
Adams,-89.7672,43.9738,991,2007-09,3.13,48.9,61.5,74.0,52.6,0.53,15.46
Adams,-89.7672,43.9738,991,2007-10,3.79,44.0,54.1,64.3,45.7,0.67,10.13
Adams,-89.7672,43.9738,991,2007-11,0.11,23.5,33.3,43.0,23.3,0.61,5.32
Adams,-89.7672,43.9738,991,2007-12,3.21,8.8,17.8,26.8,13.8,0.21,1.64
Adams,-89.7672,43.9738,991,2008-01,2.13,5.4,14.8,24.1,10.1,0.17,1.51
Adams,-89.7672,43.9738,991,2008-02,2.56,1.6,12.6,23.7,7.3,0.22,1.81
Adams,-89.7672,43.9738,991,2008-03,0.84,13.8,25.6,37.3,16.5,0.32,4.31
Adams,-89.7672,43.9738,991,2008-04,7.03,33.9,44.3,54.6,33.2,0.63,9.07
Adams,-89.7672,43.9738,991,2008-05,2.58,40.8,53.4,66.0,39.4,0.97,14.24
Adams,-89.7672,43.9738,991,2008-06,6.85,55.0,65.8,76.6,55.5,0.69,17.24
Adams,-89.7672,43.9738,991,2008-07,5.50,58.5,70.3,82.0,59.5,0.85,20.30
Adams,-89.7672,43.9738,991,2008-08,1.88,55.0,67.6,80.2,57.7,0.63,19.63
Adams,-89.7672,43.9738,991,2008-09,2.33,50.6,62.0,73.4,53.3,0.61,15.15
Adams,-89.7672,43.9738,991,2008-10,1.91,36.2,47.4,58.6,38.4,0.45,9.32
Adams,-89.7672,43.9738,991,2008-11,1.28,25.3,34.3,43.3,26.7,0.55,4.91
Adams,-89.7672,43.9738,991,2008-12,2.89,1.0,13.0,25.0,9.3,0.17,1.48
Adams,-89.7672,43.9738,991,2009-01,0.53,-5.9,6.1,18.2,0.4,0.13,1.49
Adams,-89.7672,43.9738,991,2009-02,1.07,9.4,21.0,32.6,14.1,0.24,3.14
Adams,-89.7672,43.9738,991,2009-03,2.30,19.1,30.8,42.5,20.8,0.44,5.59
Adams,-89.7672,43.9738,991,2009-04,3.21,31.3,43.4,55.5,27.0,0.91,10.62
Adams,-89.7672,43.9738,991,2009-05,3.52,45.8,57.0,68.3,41.6,1.56,15.28
Adams,-89.7672,43.9738,991,2009-06,4.48,55.0,65.6,76.2,53.9,1.23,17.75
Adams,-89.7672,43.9738,991,2009-07,2.55,52.9,64.4,75.8,53.7,0.71,17.34
Adams,-89.7672,43.9738,991,2009-08,4.68,55.1,66.0,76.9,58.1,0.45,15.51
Adams,-89.7672,43.9738,991,2009-09,0.59,48.8,62.1,75.4,53.3,0.28,16.80
Adams,-89.7672,43.9738,991,2009-10,4.96,35.0,42.9,50.8,37.8,0.20,4.98
Adams,-89.7672,43.9738,991,2009-11,0.86,30.5,40.6,50.7,32.4,0.47,6.74
Adams,-89.7672,43.9738,991,2009-12,2.80,12.2,19.8,27.3,14.7,0.31,1.84

Ashland,-90.6797,46.5444,719,1995-01,0.70,9.0,16.2,23.4,9.4,0.43,1.60
Ashland,-90.6797,46.5444,719,1995-02,0.69,5.7,15.1,24.6,7.2,0.45,2.23
Ashland,-90.6797,46.5444,719,1995-03,1.72,20.3,29.1,37.8,21.0,0.54,3.89
Ashland,-90.6797,46.5444,719,1995-04,2.63,25.6,34.4,43.1,22.7,0.78,5.45
Ashland,-90.6797,46.5444,719,1995-05,3.41,39.0,50.6,62.1,35.4,1.33,12.54
Ashland,-90.6797,46.5444,719,1995-06,1.67,51.8,64.4,77.0,52.6,0.93,18.21
Ashland,-90.6797,46.5444,719,1995-07,3.39,56.4,67.2,77.9,57.1,1.19,16.76
Ashland,-90.6797,46.5444,719,1995-08,3.97,58.3,69.2,80.0,61.2,0.17,15.59
Ashland,-90.6797,46.5444,719,1995-09,2.70,44.9,56.0,67.0,47.1,0.78,11.79
Ashland,-90.6797,46.5444,719,1995-10,6.41,37.7,45.6,53.6,37.5,0.96,6.98
Ashland,-90.6797,46.5444,719,1995-11,1.35,15.6,22.8,30.1,15.8,0.49,2.33
Ashland,-90.6797,46.5444,719,1995-12,1.83,7.1,15.1,23.0,9.3,0.37,1.55
Ashland,-90.6797,46.5444,719,1996-01,3.49,-4.1,7.3,18.8,2.3,0.19,1.34
Ashland,-90.6797,46.5444,719,1996-02,1.47,1.8,12.0,22.1,6.6,0.25,1.96
Ashland,-90.6797,46.5444,719,1996-03,1.47,9.7,19.1,28.5,9.5,0.60,3.10
Ashland,-90.6797,46.5444,719,1996-04,2.73,23.7,33.3,42.9,22.0,0.60,5.65
Ashland,-90.6797,46.5444,719,1996-05,1.68,36.0,47.6,59.2,32.5,0.93,11.20
Ashland,-90.6797,46.5444,719,1996-06,5.40,49.6,61.1,72.6,51.5,0.36,14.63
Ashland,-90.6797,46.5444,719,1996-07,6.84,52.8,62.8,72.9,54.1,0.82,13.24
Ashland,-90.6797,46.5444,719,1996-08,1.78,55.1,66.7,78.2,57.9,0.89,16.34
Ashland,-90.6797,46.5444,719,1996-09,3.98,49.2,57.8,66.4,50.9,0.76,9.83
Ashland,-90.6797,46.5444,719,1996-10,5.22,35.7,45.9,56.2,36.9,0.77,8.17
Ashland,-90.6797,46.5444,719,1996-11,2.82,19.0,25.3,31.6,19.3,0.36,2.33
Ashland,-90.6797,46.5444,719,1996-12,3.22,10.7,17.1,23.6,13.2,0.18,1.16
Ashland,-90.6797,46.5444,719,1997-01,3.44,2.0,9.9,17.8,5.7,0.16,0.99
Ashland,-90.6797,46.5444,719,1997-02,0.28,7.6,17.6,27.6,13.4,0.21,2.02
Ashland,-90.6797,46.5444,719,1997-03,1.68,16.5,25.0,33.5,18.8,0.30,2.85
Ashland,-90.6797,46.5444,719,1997-04,0.57,26.6,37.0,47.4,24.6,0.58,6.99
Ashland,-90.6797,46.5444,719,1997-05,3.28,34.8,45.2,55.6,32.8,0.60,9.31
Ashland,-90.6797,46.5444,719,1997-06,3.12,51.9,64.2,76.6,51.9,1.10,18.53
Ashland,-90.6797,46.5444,719,1997-07,3.65,55.6,65.9,76.2,57.8,0.58,14.42
Ashland,-90.6797,46.5444,719,1997-08,2.91,52.2,62.5,72.8,55.3,0.52,13.00
Ashland,-90.6797,46.5444,719,1997-09,2.27,49.4,59.3,69.2,51.6,0.75,11.15
Ashland,-90.6797,46.5444,719,1997-10,1.29,36.9,46.5,56.1,36.6,0.94,8.52
Ashland,-90.6797,46.5444,719,1997-11,1.79,22.0,28.7,35.5,22.3,0.38,2.87
Ashland,-90.6797,46.5444,719,1997-12,1.02,19.6,26.4,33.1,20.7,0.38,2.59
Ashland,-90.6797,46.5444,719,1998-01,1.66,12.3,18.5,24.6,14.6,0.21,1.25
Ashland,-90.6797,46.5444,719,1998-02,1.11,24.3,31.6,38.9,24.9,0.28,3.32
Ashland,-90.6797,46.5444,719,1998-03,3.65,19.7,27.9,36.1,21.2,0.29,3.21
Ashland,-90.6797,46.5444,719,1998-04,1.60,32.6,43.9,55.2,28.5,1.06,10.30
Ashland,-90.6797,46.5444,719,1998-05,2.81,42.9,56.9,70.8,42.7,1.01,16.68
Ashland,-90.6797,46.5444,719,1998-06,5.02,50.7,60.5,70.4,51.4,0.72,12.57
Ashland,-90.6797,46.5444,719,1998-07,1.54,57.4,68.5,79.6,57.7,1.34,19.08
Ashland,-90.6797,46.5444,719,1998-08,2.59,57.8,68.9,80.1,59.4,0.95,18.33
Ashland,-90.6797,46.5444,719,1998-09,3.25,50.8,62.7,74.7,52.9,0.77,16.32
Ashland,-90.6797,46.5444,719,1998-10,2.85,37.8,48.2,58.6,41.2,0.28,7.74
Ashland,-90.6797,46.5444,719,1998-11,2.21,28.9,35.7,42.5,28.8,0.52,3.66
Ashland,-90.6797,46.5444,719,1998-12,2.54,14.5,22.7,30.9,16.1,0.32,2.85
Ashland,-90.6797,46.5444,719,1999-01,2.76,3.1,11.1,19.2,5.7,0.24,1.41
Ashland,-90.6797,46.5444,719,1999-02,1.80,14.6,24.3,34.0,17.1,0.33,2.94
Ashland,-90.6797,46.5444,719,1999-03,0.45,18.4,28.7,39.0,18.7,0.52,4.91
Ashland,-90.6797,46.5444,719,1999-04,2.55,32.2,42.2,52.3,31.2,0.56,7.80
Ashland,-90.6797,46.5444,719,1999-05,3.26,43.0,54.8,66.5,41.9,1.33,13.52
Ashland,-90.6797,46.5444,719,1999-06,5.07,51.9,62.4,72.9,52.5,0.91,13.45
Ashland,-90.6797,46.5444,719,1999-07,8.69,59.2,70.0,80.8,61.9,0.69,16.39
Ashland,-90.6797,46.5444,719,1999-08,3.91,54.8,64.9,75.0,57.6,0.59,13.19
Ashland,-90.6797,46.5444,719,1999-09,3.24,47.4,58.1,68.7,49.4,0.85,12.09
Ashland,-90.6797,46.5444,719,1999-10,1.41,32.8,43.4,54.1,33.3,0.68,7.96
Ashland,-90.6797,46.5444,719,1999-11,1.15,29.8,39.0,48.3,28.6,0.85,6.66
Ashland,-90.6797,46.5444,719,1999-12,0.83,14.6,22.6,30.7,15.5,0.41,2.53
Ashland,-90.6797,46.5444,719,2000-01,1.40,4.1,13.8,23.4,7.9,0.23,1.76
Ashland,-90.6797,46.5444,719,2000-02,2.00,13.4,23.3,33.2,17.0,0.31,3.05
Ashland,-90.6797,46.5444,719,2000-03,2.10,24.3,34.9,45.4,25.1,0.44,6.23
Ashland,-90.6797,46.5444,719,2000-04,1.54,28.4,38.6,48.8,27.0,0.53,7.69
Ashland,-90.6797,46.5444,719,2000-05,2.60,40.7,53.4,66.0,42.4,0.60,12.81
Ashland,-90.6797,46.5444,719,2000-06,3.66,46.4,57.9,69.4,48.6,0.66,12.92
Ashland,-90.6797,46.5444,719,2000-07,4.82,54.9,65.1,75.4,56.9,0.73,13.86
Ashland,-90.6797,46.5444,719,2000-08,2.38,55.3,65.9,76.5,58.6,0.70,13.99
Ashland,-90.6797,46.5444,719,2000-09,2.11,45.3,56.5,67.7,46.6,1.27,12.50
Ashland,-90.6797,46.5444,719,2000-10,1.52,38.1,50.0,62.0,37.9,1.06,11.59
Ashland,-90.6797,46.5444,719,2000-11,5.09,27.0,33.4,39.8,26.2,0.77,4.11
Ashland,-90.6797,46.5444,719,2000-12,1.78,1.8,9.6,17.4,3.3,0.30,1.33
Ashland,-90.6797,46.5444,719,2001-01,2.26,11.2,19.6,28.0,14.4,0.34,1.92
Ashland,-90.6797,46.5444,719,2001-02,2.63,1.6,11.5,21.3,6.2,0.28,1.50
Ashland,-90.6797,46.5444,719,2001-03,1.04,15.1,25.1,35.2,17.2,0.40,3.53
Ashland,-90.6797,46.5444,719,2001-04,8.46,32.3,41.8,51.3,31.7,0.81,7.42
Ashland,-90.6797,46.5444,719,2001-05,3.27,42.5,54.1,65.8,42.7,0.81,12.83
Ashland,-90.6797,46.5444,719,2001-06,3.85,50.8,62.0,73.1,51.5,1.12,15.34
Ashland,-90.6797,46.5444,719,2001-07,3.53,55.2,66.9,78.6,56.9,0.74,17.43
Ashland,-90.6797,46.5444,719,2001-08,3.31,56.6,68.4,80.3,59.8,0.84,17.52
Ashland,-90.6797,46.5444,719,2001-09,2.09,46.0,56.2,66.5,49.5,0.55,10.17
Ashland,-90.6797,46.5444,719,2001-10,2.94,34.7,44.9,55.0,34.9,0.66,8.65
Ashland,-90.6797,46.5444,719,2001-11,2.83,33.1,42.1,51.2,34.3,0.61,6.57
Ashland,-90.6797,46.5444,719,2001-12,1.45,19.4,25.9,32.5,20.5,0.35,2.18
Ashland,-90.6797,46.5444,719,2002-01,0.55,12.7,20.3,28.0,16.0,0.25,1.88
Ashland,-90.6797,46.5444,719,2002-02,2.68,15.4,24.0,32.7,17.2,0.33,2.94
Ashland,-90.6797,46.5444,719,2002-03,3.07,9.4,19.1,28.9,11.2,0.28,2.94
Ashland,-90.6797,46.5444,719,2002-04,4.07,28.8,37.9,47.0,29.2,0.46,6.08
Ashland,-90.6797,46.5444,719,2002-05,2.43,35.4,46.8,58.1,33.9,0.78,11.23
Ashland,-90.6797,46.5444,719,2002-06,3.32,50.0,61.4,72.7,52.0,0.73,14.34
Ashland,-90.6797,46.5444,719,2002-07,4.02,60.5,71.3,82.1,61.8,1.15,18.40
Ashland,-90.6797,46.5444,719,2002-08,5.60,54.9,65.3,75.8,58.0,0.50,13.72
Ashland,-90.6797,46.5444,719,2002-09,4.96,48.9,59.6,70.3,53.1,0.46,11.64
Ashland,-90.6797,46.5444,719,2002-10,5.19,30.6,38.5,46.4,32.7,0.22,4.93
