Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
Adams,-89.7672,43.9738,991,2013-03,2.15,12.3,23.3,34.4,16.0,0.28,3.50
Adams,-89.7672,43.9738,991,2013-04,4.68,29.1,38.0,47.0,28.9,0.31,6.22
Adams,-89.7672,43.9738,991,2013-05,5.21,44.8,56.7,68.7,44.4,0.91,15.19
Adams,-89.7672,43.9738,991,2013-06,8.74,55.3,65.4,75.6,56.3,0.58,15.30
Adams,-89.7672,43.9738,991,2013-07,2.40,58.7,70.0,81.2,58.8,1.19,20.65
Adams,-89.7672,43.9738,991,2013-08,0.94,55.4,68.2,81.1,57.8,0.80,20.67
Adams,-89.7672,43.9738,991,2013-09,2.42,47.2,61.2,75.3,52.5,0.44,16.94
Adams,-89.7672,43.9738,991,2013-10,2.96,35.2,46.5,57.8,39.0,0.31,8.89
Adams,-89.7672,43.9738,991,2013-11,3.16,19.8,29.9,40.0,24.2,0.25,3.55
Adams,-89.7672,43.9738,991,2013-12,1.34,3.0,12.7,22.4,8.4,0.19,1.58
Adams,-89.7672,43.9738,991,2014-01,0.85,-5.2,5.9,17.0,-0.2,0.22,1.34
Adams,-89.7672,43.9738,991,2014-02,0.94,-4.5,7.4,19.3,0.3,0.24,1.87
Adams,-89.7672,43.9738,991,2014-03,1.56,10.5,21.9,33.4,13.5,0.39,3.80
Adams,-89.7672,43.9738,991,2014-04,7.68,28.8,40.3,51.7,30.5,0.28,7.90
Adams,-89.7672,43.9738,991,2014-05,2.51,44.3,55.9,67.4,43.5,0.79,14.32
Adams,-89.7672,43.9738,991,2014-06,6.12,58.6,69.1,79.5,57.5,1.15,18.76
Adams,-89.7672,43.9738,991,2014-07,2.39,55.2,66.1,77.0,56.6,0.91,16.34
Adams,-89.7672,43.9738,991,2014-08,8.52,57.3,68.7,80.1,60.3,0.55,16.98
Adams,-89.7672,43.9738,991,2014-09,2.38,46.9,58.8,70.8,51.4,0.32,12.92
Adams,-89.7672,43.9738,991,2014-10,2.57,34.8,45.4,55.9,38.7,0.14,7.12
Adams,-89.7672,43.9738,991,2014-11,1.63,17.8,25.8,33.7,20.1,0.24,2.76
Adams,-89.7672,43.9738,991,2014-12,1.51,18.2,24.6,30.9,20.9,0.11,1.46
Adams,-89.7672,43.9738,991,2015-01,0.40,7.5,15.4,23.3,10.3,0.23,1.60
Adams,-89.7672,43.9738,991,2015-02,0.43,-5.1,6.6,18.3,0.1,0.23,1.67
Adams,-89.7672,43.9738,991,2015-03,0.46,17.3,30.3,43.3,18.3,0.43,6.94
Adams,-89.7672,43.9738,991,2015-04,3.68,31.6,44.8,57.9,29.1,0.51,12.27
Adams,-89.7672,43.9738,991,2015-05,4.20,46.7,58.1,69.5,46.6,0.64,14.31
Adams,-89.7672,43.9738,991,2015-06,4.47,54.2,65.1,76.1,55.2,0.70,16.30
Adams,-89.7672,43.9738,991,2015-07,2.50,56.7,68.8,80.8,58.4,0.73,19.89
Adams,-89.7672,43.9738,991,2015-08,3.80,56.3,67.0,77.8,58.1,0.58,17.12
Adams,-89.7672,43.9738,991,2015-09,2.74,54.2,65.8,77.4,57.4,0.48,16.08
Adams,-89.7672,43.9738,991,2015-10,1.80,37.0,48.8,60.6,39.6,0.45,9.99
Adams,-89.7672,43.9738,991,2015-11,2.62,29.8,39.9,50.0,32.1,0.43,6.46
Adams,-89.7672,43.9738,991,2015-12,5.73,26.6,32.8,39.1,28.6,0.20,2.45
Adams,-89.7672,43.9738,991,2016-01,0.95,6.3,15.2,24.0,11.8,0.14,1.50
Adams,-89.7672,43.9738,991,2016-02,0.98,12.3,22.1,31.9,16.9,0.22,2.73
Adams,-89.7672,43.9738,991,2016-03,6.09,27.3,37.1,46.9,29.2,0.32,5.80
Adams,-89.7672,43.9738,991,2016-04,1.35,32.8,43.9,54.9,31.5,0.71,10.04
Adams,-89.7672,43.9738,991,2016-05,3.84,43.9,56.8,69.7,42.2,0.82,17.15
Adams,-89.7672,43.9738,991,2016-06,3.97,55.8,67.3,78.7,55.9,0.95,18.80
Adams,-89.7672,43.9738,991,2016-07,5.75,59.7,70.6,81.4,62.0,0.48,17.71
Adams,-89.7672,43.9738,991,2016-08,6.37,59.9,70.4,80.8,63.3,0.19,16.18
Adams,-89.7672,43.9738,991,2016-09,9.87,53.0,63.1,73.2,56.7,0.31,12.11
Adams,-89.7672,43.9738,991,2016-10,2.48,41.4,51.5,61.6,45.0,0.29,8.56
Adams,-89.7672,43.9738,991,2016-11,2.03,30.6,42.0,53.4,34.9,0.23,7.48
Adams,-89.7672,43.9738,991,2016-12,2.62,13.9,20.3,26.6,14.9,0.29,1.69
Adams,-89.7672,43.9738,991,2017-01,2.66,12.4,19.6,26.9,15.3,0.17,1.41
Adams,-89.7672,43.9738,991,2017-02,1.30,17.6,28.4,39.1,20.0,0.37,4.83
Adams,-89.7672,43.9738,991,2017-03,2.83,19.9,29.9,39.9,21.1,0.34,4.14
Adams,-89.7672,43.9738,991,2017-04,4.77,36.0,47.9,59.9,36.4,0.58,10.63
Adams,-89.7672,43.9738,991,2017-05,3.25,44.0,55.0,66.0,43.0,0.79,13.19
Adams,-89.7672,43.9738,991,2017-06,6.91,55.3,67.2,79.1,55.3,0.97,20.24
Adams,-89.7672,43.9738,991,2017-07,5.52,59.2,70.4,81.6,61.4,0.63,18.08
Adams,-89.7672,43.9738,991,2017-08,5.07,54.4,65.9,77.4,57.2,0.33,16.61
Adams,-89.7672,43.9738,991,2017-09,1.32,51.3,63.7,76.0,54.4,0.53,17.12
Adams,-89.7672,43.9738,991,2017-10,4.34,41.1,51.3,61.4,43.1,0.60,9.52
Adams,-89.7672,43.9738,991,2017-11,0.47,23.1,32.7,42.4,24.6,0.45,4.59
Adams,-89.7672,43.9738,991,2017-12,0.64,10.6,18.9,27.3,11.9,0.35,2.64
Adams,-89.7672,43.9738,991,2018-01,1.10,5.7,16.3,26.9,9.9,0.24,2.28
Adams,-89.7672,43.9738,991,2018-02,1.56,7.1,18.0,28.9,10.1,0.30,3.04
Adams,-89.7672,43.9738,991,2018-03,0.92,19.9,31.4,42.9,17.9,0.59,6.34
Adams,-89.7672,43.9738,991,2018-04,4.38,21.8,33.8,45.7,21.2,0.41,7.72
Adams,-89.7672,43.9738,991,2018-05,8.47,51.9,63.8,75.6,50.1,1.39,19.73
Adams,-89.7672,43.9738,991,2018-06,4.79,59.4,68.8,78.2,59.0,1.27,16.13
Adams,-89.7672,43.9738,991,2018-07,3.35,59.5,71.6,83.6,60.3,0.99,22.22
Adams,-89.7672,43.9738,991,2018-08,9.07,59.2,70.3,81.3,62.3,0.38,18.21
Adams,-89.7672,43.9738,991,2018-09,8.63,51.6,62.5,73.5,55.3,0.35,13.32
Adams,-89.7672,43.9738,991,2018-10,4.25,35.8,45.0,54.1,38.0,0.43,6.06
Adams,-89.7672,43.9738,991,2018-11,1.74,21.9,28.7,35.4,21.1,0.48,3.18
Adams,-89.7672,43.9738,991,2018-12,1.86,19.0,26.1,33.1,21.0,0.31,2.17
Adams,-89.7672,43.9738,991,2019-01,2.35,3.8,13.4,23.1,7.8,0.22,1.84
Adams,-89.7672,43.9738,991,2019-02,2.95,4.0,14.7,25.4,9.2,0.22,1.64
Adams,-89.7672,43.9738,991,2019-03,1.56,14.7,26.7,38.7,16.8,0.39,5.06
Adams,-89.7672,43.9738,991,2019-04,4.29,33.3,43.9,54.6,31.8,0.70,9.39
Adams,-89.7672,43.9738,991,2019-05,5.11,43.8,53.6,63.4,42.7,0.78,11.85
Adams,-89.7672,43.9738,991,2019-06,4.36,54.3,65.5,76.7,54.2,1.16,17.46
Adams,-89.7672,43.9738,991,2019-07,7.77,62.0,72.9,83.8,63.4,0.89,19.52
Adams,-89.7672,43.9738,991,2019-08,6.14,55.2,66.6,78.0,58.1,0.36,16.43
Adams,-89.7672,43.9738,991,2019-09,6.56,53.8,63.3,72.9,57.5,0.41,11.12
Adams,-89.7672,43.9738,991,2019-10,4.20,37.0,46.3,55.7,38.3,0.41,7.52
Adams,-89.7672,43.9738,991,2019-11,2.53,22.0,29.0,36.1,22.5,0.30,2.97
Adams,-89.7672,43.9738,991,2019-12,2.39,17.9,25.9,33.9,20.4,0.30,2.41
Adams,-89.7672,43.9738,991,2020-01,1.05,13.8,22.0,30.1,17.5,0.29,1.86
Adams,-89.7672,43.9738,991,2020-02,1.12,7.0,19.4,31.7,11.0,0.32,3.45
Adams,-89.7672,43.9738,991,2020-03,3.74,27.9,36.4,44.8,27.0,0.76,4.98
Adams,-89.7672,43.9738,991,2020-04,1.92,30.2,41.4,52.6,29.0,0.64,8.23
Adams,-89.7672,43.9738,991,2020-05,3.91,44.1,55.3,66.4,41.4,1.01,13.57
Adams,-89.7672,43.9738,991,2020-06,6.26,56.3,68.1,79.9,56.0,1.19,19.64
Adams,-89.7672,43.9738,991,2020-07,4.07,62.1,73.2,84.4,64.0,0.72,20.69
Adams,-89.7672,43.9738,991,2020-08,5.76,57.0,69.5,82.0,59.5,0.54,19.95
Adams,-89.7672,43.9738,991,2020-09,4.07,48.4,58.3,68.2,50.8,0.62,11.07
Adams,-89.7672,43.9738,991,2020-10,3.96,32.2,42.1,52.0,32.8,0.50,7.75
Adams,-89.7672,43.9738,991,2020-11,2.68,29.0,39.9,50.9,30.7,0.63,7.44
Adams,-89.7672,43.9738,991,2020-12,0.53,16.4,24.9,33.5,18.9,0.34,2.83
Adams,-89.7672,43.9738,991,2021-01,0.90,13.0,20.7,28.4,16.6,0.23,1.68
Adams,-89.7672,43.9738,991,2021-02,0.76,-2.2,10.2,22.6,4.0,0.19,2.39
Adams,-89.7672,43.9738,991,2021-03,1.76,26.9,38.4,49.9,26.4,0.70,7.74
Adams,-89.7672,43.9738,991,2021-04,2.15,34.7,46.3,57.8,33.0,0.76,10.81
Adams,-89.7672,43.9738,991,2021-05,3.45,44.6,56.1,67.6,43.4,0.93,13.84
Adams,-89.7672,43.9738,991,2021-06,6.42,58.8,70.7,82.6,58.0,1.51,22.79
Adams,-89.7672,43.9738,991,2021-07,4.91,59.3,70.5,81.7,61.6,0.84,18.30
Adams,-89.7672,43.9738,991,2021-08,6.51,59.2,70.4,81.6,62.6,0.70,16.42
Adams,-89.7672,43.9738,991,2021-09,0.92,48.0,61.6,75.2,52.7,0.42,16.21
Adams,-89.7672,43.9738,991,2021-10,1.02,44.3,54.8,65.3,46.6,0.29,9.98
Adams,-89.7672,43.9738,991,2021-11,0.87,24.0,34.5,45.0,23.9,0.62,5.98
Adams,-89.7672,43.9738,991,2021-12,1.65,17.7,26.2,34.8,19.9,0.31,3.01
Adams,-89.7672,43.9738,991,2022-01,0.39,-2.1,9.6,21.3,3.3,0.29,1.84
Adams,-89.7672,43.9738,991,2022-02,0.54,5.2,16.8,28.4,8.2,0.42,2.67
Adams,-89.7672,43.9738,991,2022-03,3.76,21.6,31.3,41.0,21.3,0.49,5.00
Adams,-89.7672,43.9738,991,2022-04,2.47,31.1,40.4,49.8,29.3,0.77,7.44
Adams,-89.7672,43.9738,991,2022-05,3.83,48.0,58.8,69.5,46.4,1.44,15.26
Adams,-89.7672,43.9738,991,2022-06,4.38,54.2,66.2,78.3,54.2,1.38,19.42
Adams,-89.7672,43.9738,991,2022-07,2.80,58.9,70.6,82.3,60.7,0.82,19.98
Adams,-89.7672,43.9738,991,2022-08,4.37,57.3,68.4,79.4,61.1,0.33,16.22
Adams,-89.7672,43.9738,991,2022-09,3.27,49.7,60.8,71.9,54.2,0.33,12.39
Adams,-89.7672,43.9738,991,2022-10,1.05,34.9,47.6,60.3,38.0,0.48,10.78
Adams,-89.7672,43.9738,991,2022-11,2.84,26.2,36.7,47.2,28.3,0.69,6.33
Adams,-89.7672,43.9738,991,2022-12,2.17,14.1,21.1,28.1,15.3,0.37,1.88
Adams,-89.7672,43.9738,991,2023-01,1.77,19.9,25.0,30.1,20.9,0.31,1.47
Adams,-89.7672,43.9738,991,2023-02,2.04,12.1,23.0,33.9,15.8,0.39,3.56
Adams,-89.7672,43.9738,991,2023-03,2.50,20.5,30.6,40.7,21.5,0.41,4.82
Adams,-89.7672,43.9738,991,2023-04,4.86,34.1,45.4,56.8,32.2,1.06,11.19
Adams,-89.7672,43.9738,991,2023-05,1.44,44.5,57.9,71.3,42.6,1.15,18.42
Adams,-89.7672,43.9738,991,2023-06,1.41,55.1,68.9,82.7,53.9,1.36,26.13
Adams,-89.7672,43.9738,991,2023-07,3.77,57.0,70.1,83.3,59.0,0.59,22.90
Adams,-89.7672,43.9738,991,2023-08,1.87,57.7,69.7,81.7,59.9,0.62,20.14
Adams,-89.7672,43.9738,991,2023-09,2.38,53.4,64.7,76.1,56.1,0.64,16.37
Adams,-89.7672,43.9738,991,2023-10,3.34,40.6,50.6,60.7,43.4,0.35,8.77
Adams,-89.7672,43.9738,991,2023-11,0.31,24.0,35.2,46.3,26.0,0.50,6.50
Adams,-89.7672,43.9738,991,2023-12,1.22,26.0,32.9,39.9,28.4,0.25,2.85
Adams,-89.7672,43.9738,991,2024-01,1.57,16.2,21.4,26.7,17.1,0.23,1.32
Adams,-89.7672,43.9738,991,2024-02,0.33,20.7,32.9,45.2,23.0,0.40,6.50
Adams,-89.7672,43.9738,991,2024-03,1.53,24.2,36.9,49.6,23.1,0.74,8.49
Adams,-89.7672,43.9738,991,2024-04,5.26,34.6,45.9,57.2,34.0,0.61,10.31
Adams,-89.7672,43.9738,991,2024-05,7.93,46.9,59.1,71.3,47.8,0.68,15.29
Adams,-89.7672,43.9738,991,2024-06,5.09,56.1,66.8,77.4,58.7,0.59,15.03
Adams,-89.7672,43.9738,991,2024-07,6.09,59.4,70.1,80.7,62.2,0.31,16.54
Adams,-89.7672,43.9738,991,2024-08,3.67,58.0,69.2,80.5,61.2,0.43,17.40
Adams,-89.7672,43.9738,991,2024-09,1.83,50.1,64.5,79.0,54.2,0.40,20.15
Adams,-89.7672,43.9738,991,2024-10,1.64,37.8,52.6,67.4,39.3,0.97,15.10
Adams,-89.7672,43.9738,991,2024-11,4.52,31.5,39.9,48.3,34.7,0.26,4.26
Adams,-89.7672,43.9738,991,2024-12,1.50,15.9,23.7,31.4,18.4,0.32,2.14

Ashland,-90.6797,46.5444,719,2010-01,1.78,7.9,15.6,23.4,9.9,0.28,1.53
Ashland,-90.6797,46.5444,719,2010-02,0.48,6.9,17.5,28.1,10.5,0.31,2.62
Ashland,-90.6797,46.5444,719,2010-03,0.64,23.6,35.3,47.0,24.1,0.61,6.71
Ashland,-90.6797,46.5444,719,2010-04,0.69,32.1,45.3,58.4,29.9,1.00,11.93
Ashland,-90.6797,46.5444,719,2010-05,3.23,42.1,54.5,66.8,41.5,0.90,14.73
Ashland,-90.6797,46.5444,719,2010-06,6.76,50.8,60.6,70.3,52.8,0.79,11.70
Ashland,-90.6797,46.5444,719,2010-07,3.89,59.6,69.4,79.1,60.6,1.23,15.94
Ashland,-90.6797,46.5444,719,2010-08,5.76,58.5,69.0,79.4,61.0,0.79,15.70
Ashland,-90.6797,46.5444,719,2010-09,5.75,43.9,53.9,63.9,47.7,0.38,8.58
Ashland,-90.6797,46.5444,719,2010-10,2.71,36.8,47.8,58.8,37.2,0.73,9.83
Ashland,-90.6797,46.5444,719,2010-11,2.20,26.7,34.4,42.2,26.0,0.64,4.76
Ashland,-90.6797,46.5444,719,2010-12,2.34,12.0,18.9,25.7,13.4,0.25,1.43
Ashland,-90.6797,46.5444,719,2011-01,1.53,4.2,11.5,18.9,6.6,0.23,1.19
Ashland,-90.6797,46.5444,719,2011-02,0.35,8.9,18.1,27.2,10.5,0.40,2.39
Ashland,-90.6797,46.5444,719,2011-03,1.41,16.8,26.0,35.3,18.0,0.32,3.58
Ashland,-90.6797,46.5444,719,2011-04,4.14,30.8,39.8,48.8,29.4,0.56,7.01
Ashland,-90.6797,46.5444,719,2011-05,4.38,38.4,49.1,59.9,38.5,0.52,9.67
Ashland,-90.6797,46.5444,719,2011-06,3.07,48.6,59.9,71.1,49.7,0.81,13.69
Ashland,-90.6797,46.5444,719,2011-07,3.10,60.1,71.1,82.1,62.3,0.74,18.00
Ashland,-90.6797,46.5444,719,2011-08,3.41,56.6,67.9,79.3,58.9,0.77,16.93
Ashland,-90.6797,46.5444,719,2011-09,2.65,47.5,57.6,67.8,50.0,0.60,11.49
Ashland,-90.6797,46.5444,719,2011-10,2.59,39.8,50.1,60.3,39.2,0.95,11.38
Ashland,-90.6797,46.5444,719,2011-11,1.56,27.4,36.0,44.6,27.7,0.53,5.02
Ashland,-90.6797,46.5444,719,2011-12,1.01,18.4,25.2,32.0,18.5,0.46,2.42
Ashland,-90.6797,46.5444,719,2012-01,1.47,11.8,20.3,28.9,13.9,0.35,2.50
Ashland,-90.6797,46.5444,719,2012-02,1.22,17.9,26.0,34.2,17.1,0.48,3.28
Ashland,-90.6797,46.5444,719,2012-03,2.88,31.4,41.6,51.9,32.9,0.59,7.46
Ashland,-90.6797,46.5444,719,2012-04,2.21,30.4,41.0,51.7,28.7,0.58,8.20
Ashland,-90.6797,46.5444,719,2012-05,6.02,44.5,56.1,67.8,42.7,1.45,14.27
Ashland,-90.6797,46.5444,719,2012-06,5.22,52.3,64.3,76.2,52.5,0.92,17.63
Ashland,-90.6797,46.5444,719,2012-07,2.70,60.3,71.8,83.4,61.6,1.05,20.62
Ashland,-90.6797,46.5444,719,2012-08,1.85,54.5,66.2,77.9,55.3,1.11,18.36
Ashland,-90.6797,46.5444,719,2012-09,1.71,44.8,57.0,69.3,44.0,0.92,16.05
Ashland,-90.6797,46.5444,719,2012-10,3.57,34.0,43.4,52.8,34.5,0.50,7.09
Ashland,-90.6797,46.5444,719,2012-11,1.63,25.6,33.7,41.8,25.5,0.66,4.33
Ashland,-90.6797,46.5444,719,2012-12,1.37,16.8,23.6,30.5,18.3,0.41,1.88
Ashland,-90.6797,46.5444,719,2013-01,1.71,7.7,16.0,24.3,9.1,0.30,1.93
Ashland,-90.6797,46.5444,719,2013-02,1.60,6.2,15.2,24.3,10.2,0.27,1.74
Ashland,-90.6797,46.5444,719,2013-03,1.18,12.6,22.1,31.5,15.0,0.38,2.84
Ashland,-90.6797,46.5444,719,2013-04,5.53,25.5,33.6,41.6,25.1,0.49,4.97
Ashland,-90.6797,46.5444,719,2013-05,8.44,38.2,49.0,59.8,36.8,0.97,10.89
Ashland,-90.6797,46.5444,719,2013-06,4.88,48.3,59.3,70.4,50.2,0.61,12.95
Ashland,-90.6797,46.5444,719,2013-07,4.24,55.3,66.2,77.2,56.6,1.16,16.17
Ashland,-90.6797,46.5444,719,2013-08,6.65,55.7,66.8,77.8,57.3,1.27,16.48
Ashland,-90.6797,46.5444,719,2013-09,1.20,48.7,59.9,71.2,52.1,0.82,11.99
Ashland,-90.6797,46.5444,719,2013-10,5.16,38.2,46.6,55.0,38.0,0.86,7.92
Ashland,-90.6797,46.5444,719,2013-11,2.14,24.4,32.3,40.3,23.0,0.61,3.99
Ashland,-90.6797,46.5444,719,2013-12,3.35,1.5,9.6,17.7,5.3,0.22,1.03
Ashland,-90.6797,46.5444,719,2014-01,1.43,-5.4,4.0,13.5,-2.3,0.24,1.07
Ashland,-90.6797,46.5444,719,2014-02,1.85,-1.8,8.6,18.9,-0.9,0.26,2.00
Ashland,-90.6797,46.5444,719,2014-03,1.71,7.6,17.8,28.0,10.2,0.39,2.75
Ashland,-90.6797,46.5444,719,2014-04,4.91,25.6,34.7,43.8,26.3,0.48,5.26
Ashland,-90.6797,46.5444,719,2014-05,4.44,39.5,50.7,61.9,38.6,0.93,12.01
Ashland,-90.6797,46.5444,719,2014-06,4.08,48.3,60.1,72.0,51.6,0.37,12.65
Ashland,-90.6797,46.5444,719,2014-07,4.70,55.2,65.1,74.9,55.9,1.28,14.35
Ashland,-90.6797,46.5444,719,2014-08,4.95,54.7,64.4,74.1,57.9,0.50,12.00
Ashland,-90.6797,46.5444,719,2014-09,5.60,47.6,57.6,67.6,49.3,0.81,11.14
Ashland,-90.6797,46.5444,719,2014-10,2.81,36.1,44.9,53.6,36.9,0.63,6.52
Ashland,-90.6797,46.5444,719,2014-11,3.40,17.5,24.9,32.3,17.9,0.48,2.80
Ashland,-90.6797,46.5444,719,2014-12,2.14,17.3,22.9,28.5,18.6,0.25,1.33
Ashland,-90.6797,46.5444,719,2015-01,0.68,6.6,14.1,21.7,7.6,0.38,1.58
Ashland,-90.6797,46.5444,719,2015-02,0.52,-1.8,6.7,15.2,-1.6,0.30,1.44
Ashland,-90.6797,46.5444,719,2015-03,0.89,19.8,29.6,39.5,17.1,0.75,5.48
Ashland,-90.6797,46.5444,719,2015-04,2.12,30.0,40.9,51.7,27.5,0.70,9.47
Ashland,-90.6797,46.5444,719,2015-05,4.27,39.9,51.7,63.5,41.5,0.50,11.44
Ashland,-90.6797,46.5444,719,2015-06,3.53,48.9,60.0,71.2,52.0,0.47,12.69
Ashland,-90.6797,46.5444,719,2015-07,2.32,57.5,67.9,78.2,58.8,0.96,16.39
Ashland,-90.6797,46.5444,719,2015-08,2.95,55.0,65.3,75.6,58.0,0.66,14.14
Ashland,-90.6797,46.5444,719,2015-09,1.90,53.1,63.3,73.4,55.9,0.76,12.35
Ashland,-90.6797,46.5444,719,2015-10,2.88,36.3,46.2,56.1,38.7,0.46,7.65
Ashland,-90.6797,46.5444,719,2015-11,3.59,30.6,38.9,47.2,31.3,0.54,4.73
Ashland,-90.6797,46.5444,719,2015-12,4.00,24.6,29.9,35.2,26.5,0.21,1.85
Ashland,-90.6797,46.5444,719,2016-01,1.49,9.0,15.9,22.7,11.5,0.26,1.31
Ashland,-90.6797,46.5444,719,2016-02,1.69,13.1,20.9,28.7,15.1,0.27,2.21
Ashland,-90.6797,46.5444,719,2016-03,3.89,24.3,32.8,41.4,26.2,0.27,3.93
Ashland,-90.6797,46.5444,719,2016-04,3.51,30.0,38.5,47.0,28.5,0.74,6.73
Ashland,-90.6797,46.5444,719,2016-05,5.05,40.1,52.3,64.6,40.1,0.63,13.31
Ashland,-90.6797,46.5444,719,2016-06,7.60,50.8,61.6,72.4,52.0,0.85,13.74
Ashland,-90.6797,46.5444,719,2016-07,10.57,57.9,68.3,78.7,59.7,0.89,16.27
Ashland,-90.6797,46.5444,719,2016-08,4.61,58.8,68.4,78.0,60.7,0.96,14.94
Ashland,-90.6797,46.5444,719,2016-09,3.40,52.5,61.1,69.8,54.9,0.68,10.19
Ashland,-90.6797,46.5444,719,2016-10,2.84,39.5,48.4,57.3,41.4,0.62,7.31
Ashland,-90.6797,46.5444,719,2016-11,2.29,32.6,41.5,50.4,34.0,0.63,6.20
Ashland,-90.6797,46.5444,719,2016-12,1.91,13.0,19.8,26.7,13.5,0.42,1.79
Ashland,-90.6797,46.5444,719,2017-01,1.44,11.6,18.7,25.9,12.8,0.28,1.72
Ashland,-90.6797,46.5444,719,2017-02,1.18,16.6,24.9,33.1,16.4,0.52,3.40
Ashland,-90.6797,46.5444,719,2017-03,1.88,17.6,26.4,35.1,17.6,0.43,3.55
Ashland,-90.6797,46.5444,719,2017-04,3.83,31.6,41.3,51.1,32.1,0.48,7.18
Ashland,-90.6797,46.5444,719,2017-05,6.68,37.8,47.7,57.6,38.5,0.54,8.18
Ashland,-90.6797,46.5444,719,2017-06,3.35,49.9,61.4,72.8,51.3,0.71,15.03
Ashland,-90.6797,46.5444,719,2017-07,3.12,54.8,65.7,76.6,58.4,0.47,14.10
Ashland,-90.6797,46.5444,719,2017-08,6.54,52.8,62.6,72.5,55.4,0.58,12.38
Ashland,-90.6797,46.5444,719,2017-09,3.02,50.7,61.3,71.8,53.9,0.59,12.45
Ashland,-90.6797,46.5444,719,2017-10,5.19,39.2,48.9,58.6,39.7,0.92,8.86
