County,Year,Month,solar_radiation,humidity,wind_speed,wind_speed_max,precip,temp_min,temp_mean,temp_max,dewpoint_mean,vpd_min,vpd_max
adams,1994,8,17.54,77.31,2.58,6.61,4.06,54.6,65.2,75.8,57.0,0.89,14.01
adams,1994,9,14.05,79.3,2.65,6.86,5.3,52.8,62.6,72.4,54.1,0.75,13.22
adams,1995,4,14.97,74.04,3.82,10.44,3.32,29.1,39.8,50.5,26.7,0.84,7.9
adams,1995,5,18.79,72.52,3.3,8.83,4.22,44.0,55.6,67.1,41.5,1.32,14.7
adams,1995,6,23.28,72.51,2.18,5.79,1.97,57.7,70.2,82.7,58.3,1.01,23.08
adams,1995,7,21.76,70.42,3.02,6.75,2.62,60.6,71.9,83.1,60.9,1.33,21.16
adams,1995,8,16.1,78.59,2.53,6.16,7.49,64.7,73.9,83.1,65.9,1.14,15.98
adams,1995,9,14.98,68.44,2.81,7.28,1.75,45.3,57.4,69.5,48.3,0.44,13.72
adams,1996,4,17.31,74.17,3.9,8.44,2.66,28.9,40.5,52.1,27.2,0.8,8.85
adams,1996,5,15.98,75.06,3.1,6.72,1.95,42.7,53.0,63.3,40.2,1.19,12.17
adams,1996,6,18.51,80.38,2.87,6.24,6.45,56.0,66.2,76.4,57.2,0.88,15.54
adams,1996,7,21.44,74.11,2.61,7.09,3.34,55.9,67.4,78.9,57.4,0.77,17.53
adams,1996,8,20.09,69.34,2.46,6.64,1.74,55.9,68.1,80.2,60.5,0.18,17.31
adams,1996,9,14.89,67.1,2.82,7.0,1.14,48.3,59.6,71.0,52.0,0.16,12.91
adams,1997,4,17.59,70.32,3.4,11.06,0.83,30.8,42.6,54.5,28.1,0.77,10.27
adams,1997,5,19.36,70.87,3.79,9.71,3.54,39.3,50.8,62.4,37.8,0.84,11.98
adams,1997,6,22.85,72.87,2.42,8.45,3.68,55.3,67.3,79.2,56.8,0.68,18.89
adams,1997,7,21.09,74.08,2.69,8.78,4.68,58.6,69.2,79.7,61.2,0.54,16.32
adams,1997,8,16.49,74.88,2.48,6.67,3.94,54.6,64.6,74.6,58.4,0.34,12.69
adams,1997,9,14.83,72.47,3.02,9.92,2.27,49.3,60.3,71.2,53.8,0.31,11.61
adams,1998,4,17.64,71.31,3.58,9.61,2.57,35.2,47.3,59.4,32.0,0.98,11.75
adams,1998,5,22.56,71.52,3.23,8.11,3.48,50.2,62.3,74.5,50.6,1.05,17.53
adams,1998,6,20.24,76.84,2.9,8.38,8.09,53.5,64.3,75.2,56.3,0.03,14.81
adams,1998,7,22.94,71.19,2.5,7.12,1.58,58.6,70.5,82.5,60.2,0.55,21.16
adams,1998,8,18.21,74.93,2.51,5.8,4.98,58.7,69.2,79.7,62.0,0.3,15.38
adams,1998,9,16.66,67.53,2.63,7.22,2.04,50.7,63.9,77.0,54.8,0.35,17.21
adams,1999,4,15.82,73.86,3.7,10.88,5.15,36.8,47.8,58.7,35.3,0.79,10.32
adams,1999,5,19.59,75.33,3.64,7.94,3.39,47.9,59.1,70.3,47.5,0.96,14.44
adams,1999,6,21.0,76.05,2.85,6.93,3.34,55.1,66.5,77.9,58.0,0.45,16.05
adams,1999,7,22.66,78.05,3.07,7.13,10.61,62.8,73.6,84.3,65.1,0.57,19.24
adams,1999,8,18.41,75.24,2.7,6.22,3.17,56.4,66.7,77.1,59.8,0.38,13.86
adams,1999,9,15.74,65.05,2.98,8.14,1.19,45.5,58.3,71.1,50.1,0.25,14.15
adams,2000,4,16.41,65.86,3.72,10.71,3.12,31.9,43.9,55.8,29.5,0.78,10.75
adams,2000,5,17.81,69.83,3.54,10.15,4.82,47.3,58.5,69.7,48.1,0.62,14.02
adams,2000,6,19.99,76.91,3.53,8.53,8.45,54.8,64.4,73.9,56.1,0.69,13.27
adams,2000,7,20.57,74.3,2.71,5.61,2.95,58.3,68.6,78.8,59.7,0.75,16.32
adams,2000,8,18.89,71.7,2.53,6.19,4.33,58.7,68.9,79.1,61.1,0.55,16.08
adams,2000,9,14.6,67.04,3.29,7.26,3.97,48.7,59.6,70.5,51.1,0.7,12.72
adams,2001,4,17.55,74.93,4.25,13.36,4.02,37.5,48.5,59.6,35.6,1.03,10.51
adams,2001,5,18.67,74.6,3.1,7.74,5.59,47.3,58.2,69.1,47.7,0.58,13.58
adams,2001,6,20.93,78.54,2.81,8.18,6.9,55.2,65.2,75.1,56.5,0.62,15.38
adams,2001,7,23.65,69.54,2.43,6.06,2.07,59.1,71.7,84.3,59.8,0.9,23.34
adams,2001,8,18.94,69.69,2.53,6.18,4.81,60.0,71.1,82.3,62.4,0.53,19.01
adams,2001,9,14.98,74.5,2.65,7.15,4.55,46.8,57.3,67.8,51.2,0.16,10.31
adams,2002,4,14.9,76.71,3.79,9.09,3.8,34.1,44.3,54.5,34.0,0.73,9.31
adams,2002,5,20.6,72.83,3.58,9.96,1.81,41.6,52.9,64.2,40.2,1.0,12.47
adams,2002,6,21.24,79.26,2.97,6.62,7.62,55.6,67.1,78.6,58.6,0.16,17.18
adams,2002,7,22.72,70.78,2.7,5.47,4.38,60.2,73.2,86.1,63.8,0.19,22.94
adams,2002,8,19.97,68.33,2.53,7.6,4.3,55.5,67.9,80.3,60.7,0.02,17.52
adams,2002,9,16.07,68.95,2.86,7.61,3.05,48.8,62.1,75.4,55.3,0.0,15.44
adams,2003,4,16.5,70.57,4.21,9.32,1.43,30.2,43.3,56.4,29.1,1.02,11.95
adams,2003,5,20.23,70.48,3.31,11.16,5.71,41.7,54.3,66.8,41.5,0.49,14.34
adams,2003,6,22.09,69.36,2.53,6.96,3.19,50.7,63.6,76.6,52.7,0.05,18.23
adams,2003,7,21.96,65.67,2.77,6.6,3.82,56.4,69.2,82.1,59.5,0.23,21.02
adams,2003,8,20.11,62.66,2.48,6.21,1.65,56.5,70.6,84.7,61.4,0.01,23.08
adams,2003,9,15.49,64.25,3.28,7.38,2.75,47.0,59.7,72.4,50.8,0.33,16.32
adams,2004,4,17.09,72.83,3.66,10.26,1.38,30.6,44.8,59.1,31.8,0.47,12.0
adams,2004,5,17.14,79.07,3.47,7.43,9.23,42.1,54.1,66.1,45.3,0.44,11.24
adams,2004,6,21.63,80.54,2.87,6.67,7.26,52.4,63.2,74.0,54.0,0.59,14.77
adams,2004,7,20.0,80.56,2.41,6.73,4.08,57.4,68.1,78.7,58.8,0.72,16.85
adams,2004,8,17.68,77.46,2.66,7.35,7.15,52.6,63.4,74.2,54.8,0.45,13.96
adams,2004,9,17.87,70.27,2.93,7.75,0.72,49.0,62.9,76.8,54.1,0.19,17.26
adams,2005,4,18.04,68.62,3.56,8.16,1.27,35.6,49.2,62.7,32.6,1.24,13.95
adams,2005,5,19.14,70.65,3.47,7.67,2.48,43.3,53.9,64.6,41.6,0.9,12.73
adams,2005,6,23.22,71.35,3.08,8.16,3.24,59.7,71.7,83.6,59.8,1.3,22.25
adams,2005,7,22.44,61.04,2.51,6.41,7.99,60.5,72.9,85.3,59.9,1.63,25.21
adams,2005,8,20.56,63.08,2.51,6.45,1.13,57.7,69.8,81.8,59.2,0.84,20.98
adams,2005,9,15.47,65.7,2.97,7.9,3.63,51.7,64.8,78.0,55.0,0.63,18.75
adams,2006,4,17.39,70.98,4.07,9.14,3.04,36.4,49.8,63.2,33.7,0.96,14.07
adams,2006,5,18.72,75.92,3.35,10.01,4.69,47.6,57.4,67.3,47.2,1.02,12.49
adams,2006,6,22.3,67.56,2.71,6.46,1.11,53.7,66.5,79.3,53.7,1.05,21.26
adams,2006,7,22.57,60.75,2.72,6.3,2.74,61.5,74.4,87.3,61.5,1.16,27.27
adams,2006,8,17.9,63.97,2.52,6.59,5.2,58.4,69.7,80.9,59.8,0.83,19.48
adams,2006,9,13.34,71.32,3.1,7.04,3.07,45.8,57.0,68.3,49.4,0.26,12.48
adams,2007,4,16.99,72.93,4.0,10.42,2.47,32.4,43.5,54.6,29.7,0.74,10.87
adams,2007,5,21.29,70.48,3.74,9.24,2.67,48.1,60.8,73.6,45.1,1.81,18.77
adams,2007,6,23.22,67.22,2.86,8.71,1.1,55.7,68.7,81.6,55.7,1.2,22.93
adams,2007,7,24.0,61.23,2.57,7.48,4.25,58.0,70.9,83.8,57.7,1.32,24.22
adams,2007,8,16.32,72.68,2.74,6.57,9.55,59.6,69.7,79.8,60.6,0.78,17.88
adams,2007,9,16.38,75.42,3.25,8.17,3.13,48.9,61.5,74.0,52.6,0.53,15.46
adams,2008,4,15.64,81.18,3.88,10.7,7.03,33.9,44.3,54.6,33.2,0.63,9.07
adams,2008,5,21.03,75.78,3.33,7.8,2.58,40.8,53.4,66.0,39.4,0.97,14.24
adams,2008,6,20.73,80.84,3.13,9.32,6.85,55.0,65.8,76.6,55.5,0.69,17.24
adams,2008,7,22.51,80.73,2.59,7.46,5.5,58.5,70.3,82.0,59.5,0.85,20.3
adams,2008,8,20.69,74.77,2.3,5.56,1.88,55.0,67.6,80.2,57.7,0.63,19.63
adams,2008,9,13.85,77.09,2.8,6.12,2.33,50.6,62.0,73.4,53.3,0.61,15.15
adams,2009,4,17.38,72.24,3.81,8.86,3.21,31.3,43.4,55.5,27.0,0.91,10.62
adams,2009,5,21.08,71.07,3.58,8.77,3.52,45.8,57.0,68.3,41.6,1.56,15.28
adams,2009,6,20.92,75.49,2.73,7.54,4.48,55.0,65.6,76.2,53.9,1.23,17.75
adams,2009,7,20.31,68.79,2.67,6.8,2.55,52.9,64.4,75.8,53.7,0.71,17.34
adams,2009,8,18.58,73.84,2.9,6.85,4.68,55.1,66.0,76.9,58.1,0.45,15.51
adams,2009,9,15.81,69.58,1.99,10.26,0.59,48.8,62.1,75.4,53.3,0.28,16.8
adams,2010,4,17.93,70.65,4.0,8.65,2.52,36.9,50.5,64.1,34.4,1.15,14.76
adams,2010,5,21.17,71.73,3.25,9.36,4.65,46.7,58.9,71.1,45.7,0.74,17.77
adams,2010,6,19.79,80.02,2.83,7.91,7.96,57.1,67.0,77.0,58.4,0.65,15.14
adams,2010,7,21.97,80.78,2.68,7.23,9.29,63.1,72.9,82.6,63.3,1.03,18.63
adams,2010,8,19.75,81.09,2.74,6.26,3.63,61.4,72.4,83.5,63.3,0.71,19.82
adams,2010,9,13.97,80.26,3.24,9.2,5.5,47.3,58.2,69.0,51.2,0.4,11.16
adams,2011,4,13.47,82.39,3.96,10.19,3.8,33.2,42.3,51.4,32.5,0.52,7.27
adams,2011,5,17.93,80.58,3.58,8.13,2.36,44.5,55.1,65.8,43.2,0.97,12.59
adams,2011,6,20.3,79.78,3.16,7.41,3.32,55.4,66.0,76.6,55.0,1.57,17.64
adams,2011,7,21.89,79.58,2.44,5.88,3.53,63.6,75.0,86.4,64.0,1.69,23.29
adams,2011,8,20.34,73.73,2.19,7.13,1.17,56.9,69.7,82.4,59.5,0.6,21.55
adams,2011,9,14.69,73.64,2.85,9.91,4.5,46.5,57.9,69.3,49.7,0.45,12.85
adams,2012,4,18.33,70.59,3.68,10.21,3.51,33.3,45.7,58.1,31.5,0.67,10.95
adams,2012,5,21.81,72.86,3.5,8.99,7.33,48.5,61.4,74.3,46.7,1.57,19.3
adams,2012,6,25.7,62.96,2.99,6.82,2.44,55.2,68.3,81.4,53.2,1.69,24.34
adams,2012,7,22.92,58.49,2.45,6.14,0.75,63.3,76.7,90.2,62.0,1.62,32.04
adams,2012,8,20.15,56.87,2.43,7.18,3.61,54.7,68.1,81.5,55.7,0.76,23.23
adams,2012,9,17.21,59.53,2.88,8.85,0.9,43.4,57.9,72.5,45.4,0.54,18.02
adams,2013,4,15.43,79.7,4.14,9.41,4.68,29.1,38.0,47.0,28.9,0.31,6.22
adams,2013,5,19.2,78.73,3.31,8.16,5.21,44.8,56.7,68.7,44.4,0.91,15.19
adams,2013,6,20.36,82.86,2.73,6.26,8.74,55.3,65.4,75.6,56.3,0.58,15.3
adams,2013,7,22.57,79.78,2.64,5.91,2.4,58.7,70.0,81.2,58.8,1.19,20.65
adams,2013,8,20.1,74.37,2.41,5.83,0.94,55.4,68.2,81.1,57.8,0.8,20.67
adams,2013,9,16.59,72.49,3.02,8.25,2.42,47.2,61.2,75.3,52.5,0.44,16.94
adams,2014,4,14.98,78.73,4.24,9.66,7.68,28.8,40.3,51.7,30.5,0.28,7.9
adams,2014,5,20.43,78.33,3.15,7.61,2.51,44.3,55.9,67.4,43.5,0.79,14.32
adams,2014,6,21.63,80.19,3.1,7.88,6.12,58.6,69.1,79.5,57.5,1.15,18.76
adams,2014,7,21.31,76.61,3.01,6.71,2.39,55.2,66.1,77.0,56.6,0.91,16.34
adams,2014,8,18.58,77.96,2.22,6.69,8.52,57.3,68.7,80.1,60.3,0.55,16.98
adams,2014,9,15.47,76.92,2.84,8.1,2.38,46.9,58.8,70.8,51.4,0.32,12.92
adams,2015,4,18.96,69.49,3.99,9.75,3.68,31.6,44.8,57.9,29.1,0.51,12.27
adams,2015,5,18.93,74.55,3.55,8.02,4.2,46.7,58.1,69.5,46.6,0.64,14.31
adams,2015,6,21.2,76.97,2.8,7.65,4.47,54.2,65.1,76.1,55.2,0.7,16.3
adams,2015,7,22.75,72.33,2.65,7.33,2.5,56.7,68.8,80.8,58.4,0.73,19.89
adams,2015,8,17.62,71.53,2.8,7.63,3.8,56.3,67.0,77.8,58.1,0.58,17.12
adams,2015,9,16.35,73.35,2.86,6.28,2.74,54.2,65.8,77.4,57.4,0.48,16.08
adams,2016,4,15.87,78.45,3.89,9.6,1.35,32.8,43.9,54.9,31.5,0.71,10.04
adams,2016,5,21.59,74.02,3.04,7.15,3.84,43.9,56.8,69.7,42.2,0.82,17.15
adams,2016,6,24.41,77.36,3.0,7.03,3.97,55.8,67.3,78.7,55.9,0.95,18.8
adams,2016,7,21.85,77.93,2.66,6.54,5.75,59.7,70.6,81.4,62.0,0.48,17.71
adams,2016,8,19.2,80.31,2.44,6.58,6.37,59.9,70.4,80.8,63.3,0.19,16.18
adams,2016,9,13.93,82.54,3.16,7.78,9.87,53.0,63.1,73.2,56.7,0.31,12.11
adams,2017,4,15.1,81.36,3.64,8.51,4.77,36.0,47.9,59.9,36.4,0.58,10.63
adams,2017,5,19.59,80.23,3.32,7.66,3.25,44.0,55.0,66.0,43.0,0.79,13.19
adams,2017,6,23.23,80.03,3.04,8.1,6.91,55.3,67.2,79.1,55.3,0.97,20.24
adams,2017,7,22.65,81.63,2.37,4.71,5.52,59.2,70.4,81.6,61.4,0.63,18.08
adams,2017,8,18.31,79.3,2.68,7.24,5.07,54.4,65.9,77.4,57.2,0.33,16.61
adams,2017,9,16.46,75.55,2.83,6.18,1.32,51.3,63.7,76.0,54.4,0.53,17.12
adams,2018,4,17.75,74.87,3.52,11.94,4.38,21.8,33.8,45.7,21.2,0.41,7.72
adams,2018,5,19.82,77.94,2.76,8.91,8.47,51.9,63.8,75.6,50.1,1.39,19.73
adams,2018,6,19.98,80.3,3.15,6.87,4.79,59.4,68.8,78.2,59.0,1.27,16.13
adams,2018,7,23.09,71.91,2.55,7.46,3.35,59.5,71.6,83.6,60.3,0.99,22.22
adams,2018,8,16.83,75.08,2.45,6.7,9.07,59.2,70.3,81.3,62.3,0.38,18.21
adams,2018,9,14.13,84.16,2.74,8.67,8.63,51.6,62.5,73.5,55.3,0.35,13.32
adams,2019,4,14.9,82.65,3.69,11.07,4.29,33.3,43.9,54.6,31.8,0.7,9.39
adams,2019,5,17.41,82.43,3.1,9.26,5.11,43.8,53.6,63.4,42.7,0.78,11.85
adams,2019,6,19.69,82.04,2.52,6.88,4.36,54.3,65.5,76.7,54.2,1.16,17.46
adams,2019,7,23.54,82.72,2.49,6.57,7.77,62.0,72.9,83.8,63.4,0.89,19.52
adams,2019,8,19.35,80.4,2.29,7.1,6.14,55.2,66.6,78.0,58.1,0.36,16.43
adams,2019,9,12.53,86.07,3.19,7.21,6.56,53.8,63.3,72.9,57.5,0.41,11.12
adams,2020,4,17.23,80.94,3.72,8.56,1.92,30.2,41.4,52.6,29.0,0.64,8.23
adams,2020,5,20.41,80.31,3.29,9.13,3.91,44.1,55.3,66.4,41.4,1.01,13.57
adams,2020,6,24.05,80.82,2.93,7.82,6.26,56.3,68.1,79.9,56.0,1.19,19.64
adams,2020,7,23.28,81.56,2.4,5.49,4.07,62.1,73.2,84.4,64.0,0.72,20.69
adams,2020,8,20.16,77.23,2.51,5.93,5.76,57.0,69.5,82.0,59.5,0.54,19.95
adams,2020,9,12.62,80.77,3.13,7.38,4.07,48.4,58.3,68.2,50.8,0.62,11.07
adams,2021,4,16.88,76.25,3.27,7.24,2.15,34.7,46.3,57.8,33.0,0.76,10.81
adams,2021,5,19.39,74.61,3.13,7.19,3.45,44.6,56.1,67.6,43.4,0.93,13.84
adams,2021,6,23.25,73.58,2.72,6.73,6.42,58.8,70.7,82.6,58.0,1.51,22.79
adams,2021,7,20.58,74.05,2.4,6.76,4.91,59.3,70.5,81.7,61.6,0.84,18.3
adams,2021,8,18.77,77.55,2.37,6.17,6.51,59.2,70.4,81.6,62.6,0.7,16.42
adams,2021,9,15.77,72.98,2.85,7.6,0.92,48.0,61.6,75.2,52.7,0.42,16.21
adams,2022,4,14.66,74.08,4.59,11.2,2.47,31.1,40.4,49.8,29.3,0.77,7.44
adams,2022,5,18.21,74.45,3.32,9.31,3.83,48.0,58.8,69.5,46.4,1.44,15.26
adams,2022,6,23.31,72.67,3.13,8.05,4.38,54.2,66.2,78.3,54.2,1.38,19.42
adams,2022,7,22.22,68.93,2.77,7.42,2.8,58.9,70.6,82.3,60.7,0.82,19.98
adams,2022,8,18.18,73.44,2.46,6.28,4.37,57.3,68.4,79.4,61.1,0.33,16.22
adams,2022,9,14.18,73.51,2.85,6.77,3.27,49.7,60.8,71.9,54.2,0.33,12.39
adams,2023,4,16.07,79.07,4.15,10.32,4.86,34.1,45.4,56.8,32.2,1.06,11.19
adams,2023,5,21.63,70.7,2.93,8.65,1.44,44.5,57.9,71.3,42.6,1.15,18.42
adams,2023,6,22.99,69.39,2.44,6.67,1.41,55.1,68.9,82.7,53.9,1.36,26.13
adams,2023,7,22.83,65.44,2.27,5.82,3.77,57.0,70.1,83.3,59.0,0.59,22.9
adams,2023,8,20.48,64.01,2.62,7.28,1.87,57.7,69.7,81.7,59.9,0.62,20.14
adams,2023,9,13.43,68.67,2.88,6.13,2.38,53.4,64.7,76.1,56.1,0.64,16.37
adams,2024,4,16.83,72.65,4.42,12.01,5.26,34.6,45.9,57.2,34.0,0.61,10.31
adams,2024,5,20.67,73.05,3.19,8.17,7.93,46.9,59.1,71.3,47.8,0.68,15.29
adams,2024,6,20.39,79.11,3.2,7.87,5.09,56.1,66.8,77.4,58.7,0.59,15.03
adams,2024,7,21.57,79.64,2.09,5.63,6.09,59.4,70.1,80.7,62.2,0.31,16.54
adams,2024,8,18.89,76.92,2.48,7.21,3.67,58.0,69.2,80.5,61.2,0.43,17.4
adams,2024,9,17.24,67.58,2.41,6.35,1.83,50.1,64.5,79.0,54.2,0.4,20.15
ashland,1984,4,17.24,77.21,0.93,2.29,2.82,30.2,41.7,53.3,27.4,0.94,8.82
ashland,1984,5,19.05,75.93,0.55,1.72,3.25,38.2,49.4,60.6,35.3,1.24,11.28
ashland,1984,6,19.08,82.65,0.43,1.2,5.91,50.5,62.6,74.6,52.0,0.86,15.16
ashland,1984,7,19.55,78.89,0.44,1.01,1.86,54.4,66.5,78.6,55.5,1.23,17.85
ashland,1984,8,16.91,80.8,0.47,1.05,3.72,57.1,68.2,79.3,59.4,0.71,15.98
ashland,1984,9,12.53,76.81,0.57,1.15,5.3,44.9,55.7,66.5,46.1,0.95,11.64
ashland,1985,4,15.07,80.97,0.97,2.48,2.92,33.2,43.7,54.2,32.7,0.73,8.59
ashland,1985,5,18.89,78.76,0.49,1.21,5.17,41.3,54.8,68.3,42.2,0.54,14.17
ashland,1985,6,20.27,78.2,0.44,1.17,3.29,45.8,58.3,70.8,45.8,1.11,14.89
ashland,1985,7,21.82,78.25,0.43,1.09,2.88,52.7,65.9,79.1,54.9,0.94,18.95
ashland,1985,8,15.75,78.15,0.54,1.3,4.78,52.2,62.8,73.3,54.4,0.69,13.35
ashland,1985,9,12.12,83.34,0.61,1.52,8.45,46.0,57.0,68.1,50.6,0.06,10.26
ashland,1986,4,14.86,79.09,1.0,2.43,2.15,33.3,44.6,55.9,31.4,0.96,9.42
ashland,1986,5,20.13,77.95,0.52,1.92,1.89,39.1,53.1,67.2,41.2,0.3,13.94
ashland,1986,6,21.14,79.83,0.46,1.31,5.7,46.7,60.5,74.2,48.4,0.84,16.39
ashland,1986,7,18.79,83.81,0.4,1.02,4.88,57.6,68.5,79.5,59.6,0.64,16.67
ashland,1986,8,17.3,81.6,0.51,1.17,5.01,51.2,62.3,73.4,54.0,0.47,13.45
ashland,1986,9,10.67,84.07,0.55,1.27,5.09,46.8,56.5,66.3,50.9,0.18,9.05
ashland,1987,4,17.73,73.04,0.89,3.48,0.67,32.5,45.6,58.7,29.9,1.1,12.26
ashland,1987,5,18.63,73.74,0.54,1.19,4.68,41.6,54.7,67.7,40.5,1.0,14.35
