County,Year,Month,solar_radiation,humidity,wind_speed,wind_speed_max
adams,1992,8,19.05,66.05,2.52,8.37
adams,1992,9,13.1,75.06,3.1,7.7
adams,1993,4,15.0,80.37,3.73,10.15
adams,1993,5,17.0,81.45,3.15,7.6
adams,1993,6,19.62,82.7,3.11,7.81
adams,1993,7,18.61,85.68,2.89,7.49
adams,1993,8,17.67,83.8,2.3,6.31
adams,1993,9,12.03,82.3,2.97,8.62
adams,1994,4,17.1,75.58,4.03,10.51
adams,1994,5,23.71,72.51,2.91,8.87
adams,1994,6,23.73,73.96,2.67,9.91
adams,1994,7,20.25,78.88,2.69,6.68
adams,1994,8,17.54,77.31,2.58,6.61
adams,1994,9,14.05,79.3,2.65,6.86
adams,1995,4,14.97,74.04,3.82,10.44
adams,1995,5,18.79,72.52,3.3,8.83
adams,1995,6,23.28,72.51,2.18,5.79
adams,1995,7,21.76,70.42,3.02,6.75
adams,1995,8,16.1,78.59,2.53,6.16
adams,1995,9,14.98,68.44,2.81,7.28
adams,1996,4,17.31,74.17,3.9,8.44
adams,1996,5,15.98,75.06,3.1,6.72
adams,1996,6,18.51,80.38,2.87,6.24
adams,1996,7,21.44,74.11,2.61,7.09
adams,1996,8,20.09,69.34,2.46,6.64
adams,1996,9,14.89,67.1,2.82,7.0
adams,1997,4,17.59,70.32,3.4,11.06
adams,1997,5,19.36,70.87,3.79,9.71
adams,1997,6,22.85,72.87,2.42,8.45
adams,1997,7,21.09,74.08,2.69,8.78
adams,1997,8,16.49,74.88,2.48,6.67
adams,1997,9,14.83,72.47,3.02,9.92
adams,1998,4,17.64,71.31,3.58,9.61
adams,1998,5,22.56,71.52,3.23,8.11
adams,1998,6,20.24,76.84,2.9,8.38
adams,1998,7,22.94,71.19,2.5,7.12
adams,1998,8,18.21,74.93,2.51,5.8
adams,1998,9,16.66,67.53,2.63,7.22
adams,1999,4,15.82,73.86,3.7,10.88
adams,1999,5,19.59,75.33,3.64,7.94
adams,1999,6,21.0,76.05,2.85,6.93
adams,1999,7,22.66,78.05,3.07,7.13
adams,1999,8,18.41,75.24,2.7,6.22
adams,1999,9,15.74,65.05,2.98,8.14
adams,2000,4,16.41,65.86,3.72,10.71
adams,2000,5,17.81,69.83,3.54,10.15
adams,2000,6,19.99,76.91,3.53,8.53
adams,2000,7,20.57,74.3,2.71,5.61
adams,2000,8,18.89,71.7,2.53,6.19
adams,2000,9,14.6,67.04,3.29,7.26
adams,2001,4,17.55,74.93,4.25,13.36
adams,2001,5,18.67,74.6,3.1,7.74
adams,2001,6,20.93,78.54,2.81,8.18
adams,2001,7,23.65,69.54,2.43,6.06
adams,2001,8,18.94,69.69,2.53,6.18
adams,2001,9,14.98,74.5,2.65,7.15
adams,2002,4,14.9,76.71,3.79,9.09
adams,2002,5,20.6,72.83,3.58,9.96
adams,2002,6,21.24,79.26,2.97,6.62
adams,2002,7,22.72,70.78,2.7,5.47
adams,2002,8,19.97,68.33,2.53,7.6
adams,2002,9,16.07,68.95,2.86,7.61
adams,2003,4,16.5,70.57,4.21,9.32
adams,2003,5,20.23,70.48,3.31,11.16
adams,2003,6,22.09,69.36,2.53,6.96
adams,2003,7,21.96,65.67,2.77,6.6
adams,2003,8,20.11,62.66,2.48,6.21
adams,2003,9,15.49,64.25,3.28,7.38
adams,2004,4,17.09,72.83,3.66,10.26
adams,2004,5,17.14,79.07,3.47,7.43
adams,2004,6,21.63,80.54,2.87,6.67
adams,2004,7,20.0,80.56,2.41,6.73
adams,2004,8,17.68,77.46,2.66,7.35
adams,2004,9,17.87,70.27,2.93,7.75
adams,2005,4,18.04,68.62,3.56,8.16
adams,2005,5,19.14,70.65,3.47,7.67
adams,2005,6,23.22,71.35,3.08,8.16
adams,2005,7,22.44,61.04,2.51,6.41
adams,2005,8,20.56,63.08,2.51,6.45
adams,2005,9,15.47,65.7,2.97,7.9
adams,2006,4,17.39,70.98,4.07,9.14
adams,2006,5,18.72,75.92,3.35,10.01
adams,2006,6,22.3,67.56,2.71,6.46
adams,2006,7,22.57,60.75,2.72,6.3
adams,2006,8,17.9,63.97,2.52,6.59
adams,2006,9,13.34,71.32,3.1,7.04
adams,2007,4,16.99,72.93,4.0,10.42
adams,2007,5,21.29,70.48,3.74,9.24
adams,2007,6,23.22,67.22,2.86,8.71
adams,2007,7,24.0,61.23,2.57,7.48
adams,2007,8,16.32,72.68,2.74,6.57
adams,2007,9,16.38,75.42,3.25,8.17
adams,2008,4,15.64,81.18,3.88,10.7
adams,2008,5,21.03,75.78,3.33,7.8
adams,2008,6,20.73,80.84,3.13,9.32
adams,2008,7,22.51,80.73,2.59,7.46
adams,2008,8,20.69,74.77,2.3,5.56
adams,2008,9,13.85,77.09,2.8,6.12
adams,2009,4,17.38,72.24,3.81,8.86
adams,2009,5,21.08,71.07,3.58,8.77
adams,2009,6,20.92,75.49,2.73,7.54
adams,2009,7,20.31,68.79,2.67,6.8
adams,2009,8,18.58,73.84,2.9,6.85
adams,2009,9,15.81,69.58,1.99,10.26
adams,2010,4,17.93,70.65,4.0,8.65
adams,2010,5,21.17,71.73,3.25,9.36
adams,2010,6,19.79,80.02,2.83,7.91
adams,2010,7,21.97,80.78,2.68,7.23
adams,2010,8,19.75,81.09,2.74,6.26
adams,2010,9,13.97,80.26,3.24,9.2
adams,2011,4,13.47,82.39,3.96,10.19
adams,2011,5,17.93,80.58,3.58,8.13
adams,2011,6,20.3,79.78,3.16,7.41
adams,2011,7,21.89,79.58,2.44,5.88
adams,2011,8,20.34,73.73,2.19,7.13
adams,2011,9,14.69,73.64,2.85,9.91
adams,2012,4,18.33,70.59,3.68,10.21
adams,2012,5,21.81,72.86,3.5,8.99
adams,2012,6,25.7,62.96,2.99,6.82
adams,2012,7,22.92,58.49,2.45,6.14
adams,2012,8,20.15,56.87,2.43,7.18
adams,2012,9,17.21,59.53,2.88,8.85
adams,2013,4,15.43,79.7,4.14,9.41
adams,2013,5,19.2,78.73,3.31,8.16
adams,2013,6,20.36,82.86,2.73,6.26
adams,2013,7,22.57,79.78,2.64,5.91
adams,2013,8,20.1,74.37,2.41,5.83
adams,2013,9,16.59,72.49,3.02,8.25
adams,2014,4,14.98,78.73,4.24,9.66
adams,2014,5,20.43,78.33,3.15,7.61
adams,2014,6,21.63,80.19,3.1,7.88
adams,2014,7,21.31,76.61,3.01,6.71
adams,2014,8,18.58,77.96,2.22,6.69
adams,2014,9,15.47,76.92,2.84,8.1
adams,2015,4,18.96,69.49,3.99,9.75
adams,2015,5,18.93,74.55,3.55,8.02
adams,2015,6,21.2,76.97,2.8,7.65
adams,2015,7,22.75,72.33,2.65,7.33
adams,2015,8,17.62,71.53,2.8,7.63
adams,2015,9,16.35,73.35,2.86,6.28
adams,2016,4,15.87,78.45,3.89,9.6
adams,2016,5,21.59,74.02,3.04,7.15
adams,2016,6,24.41,77.36,3.0,7.03
adams,2016,7,21.85,77.93,2.66,6.54
adams,2016,8,19.2,80.31,2.44,6.58
adams,2016,9,13.93,82.54,3.16,7.78
adams,2017,4,15.1,81.36,3.64,8.51
adams,2017,5,19.59,80.23,3.32,7.66
adams,2017,6,23.23,80.03,3.04,8.1
adams,2017,7,22.65,81.63,2.37,4.71
adams,2017,8,18.31,79.3,2.68,7.24
adams,2017,9,16.46,75.55,2.83,6.18
adams,2018,4,17.75,74.87,3.52,11.94
adams,2018,5,19.82,77.94,2.76,8.91
adams,2018,6,19.98,80.3,3.15,6.87
adams,2018,7,23.09,71.91,2.55,7.46
adams,2018,8,16.83,75.08,2.45,6.7
adams,2018,9,14.13,84.16,2.74,8.67
adams,2019,4,14.9,82.65,3.69,11.07
adams,2019,5,17.41,82.43,3.1,9.26
adams,2019,6,19.69,82.04,2.52,6.88
adams,2019,7,23.54,82.72,2.49,6.57
adams,2019,8,19.35,80.4,2.29,7.1
adams,2019,9,12.53,86.07,3.19,7.21
adams,2020,4,17.23,80.94,3.72,8.56
adams,2020,5,20.41,80.31,3.29,9.13
adams,2020,6,24.05,80.82,2.93,7.82
adams,2020,7,23.28,81.56,2.4,5.49
adams,2020,8,20.16,77.23,2.51,5.93
adams,2020,9,12.62,80.77,3.13,7.38
adams,2021,4,16.88,76.25,3.27,7.24
adams,2021,5,19.39,74.61,3.13,7.19
adams,2021,6,23.25,73.58,2.72,6.73
adams,2021,7,20.58,74.05,2.4,6.76
adams,2021,8,18.77,77.55,2.37,6.17
adams,2021,9,15.77,72.98,2.85,7.6
adams,2022,4,14.66,74.08,4.59,11.2
adams,2022,5,18.21,74.45,3.32,9.31
adams,2022,6,23.31,72.67,3.13,8.05
adams,2022,7,22.22,68.93,2.77,7.42
adams,2022,8,18.18,73.44,2.46,6.28
adams,2022,9,14.18,73.51,2.85,6.77
adams,2023,4,16.07,79.07,4.15,10.32
adams,2023,5,21.63,70.7,2.93,8.65
adams,2023,6,22.99,69.39,2.44,6.67
adams,2023,7,22.83,65.44,2.27,5.82
adams,2023,8,20.48,64.01,2.62,7.28
adams,2023,9,13.43,68.67,2.88,6.13
adams,2024,4,16.83,72.65,4.42,12.01
adams,2024,5,20.67,73.05,3.19,8.17
adams,2024,6,20.39,79.11,3.2,7.87
adams,2024,7,21.57,79.64,2.09,5.63
adams,2024,8,18.89,76.92,2.48,7.21
adams,2024,9,17.24,67.58,2.41,6.35
ashland,1984,4,17.24,77.21,0.93,2.29
ashland,1984,5,19.05,75.93,0.55,1.72
ashland,1984,6,19.08,82.65,0.43,1.2
ashland,1984,7,19.55,78.89,0.44,1.01
ashland,1984,8,16.91,80.8,0.47,1.05
ashland,1984,9,12.53,76.81,0.57,1.15
ashland,1985,4,15.07,80.97,0.97,2.48
ashland,1985,5,18.89,78.76,0.49,1.21
ashland,1985,6,20.27,78.2,0.44,1.17
ashland,1985,7,21.82,78.25,0.43,1.09
ashland,1985,8,15.75,78.15,0.54,1.3
ashland,1985,9,12.12,83.34,0.61,1.52
ashland,1986,4,14.86,79.09,1.0,2.43
ashland,1986,5,20.13,77.95,0.52,1.92
ashland,1986,6,21.14,79.83,0.46,1.31
ashland,1986,7,18.79,83.81,0.4,1.02
ashland,1986,8,17.3,81.6,0.51,1.17
ashland,1986,9,10.67,84.07,0.55,1.27
ashland,1987,4,17.73,73.04,0.89,3.48
ashland,1987,5,18.63,73.74,0.54,1.19
ashland,1987,6,22.38,72.52,0.4,1.18
ashland,1987,7,19.28,77.82,0.43,1.0
ashland,1987,8,17.23,73.25,0.57,1.21
ashland,1987,9,13.21,75.46,0.61,1.39
ashland,1988,4,18.28,68.23,0.92,2.02
ashland,1988,5,20.94,68.22,0.52,1.27
ashland,1988,6,22.21,62.92,0.44,1.15
ashland,1988,7,22.22,56.61,0.44,1.06
ashland,1988,8,15.85,72.62,0.52,1.09
ashland,1988,9,11.65,71.76,0.61,1.26
ashland,1989,4,15.55,73.07,0.9,2.52
ashland,1989,5,20.0,73.31,0.52,1.83
ashland,1989,6,20.79,78.54,0.42,1.16
ashland,1989,7,22.05,71.88,0.38,1.08
ashland,1989,8,18.46,71.18,0.5,1.03
ashland,1989,9,15.53,67.0,0.67,1.58
ashland,1990,4,15.6,72.32,1.09,3.05
ashland,1990,5,20.55,70.17,0.54,1.68
ashland,1990,6,19.11,79.75,0.46,1.13
ashland,1990,7,21.11,70.52,0.42,1.16
ashland,1990,8,18.53,73.83,0.51,1.34
ashland,1990,9,12.36,79.35,0.6,1.17
ashland,1991,4,15.79,77.44,0.98,2.65
ashland,1991,5,17.71,81.97,0.53,1.71
ashland,1991,6,20.68,81.97,0.4,1.05
ashland,1991,7,21.37,80.73,0.43,1.08
ashland,1991,8,19.26,75.73,0.55,1.24
ashland,1991,9,12.22,77.85,0.69,1.52
ashland,1992,4,13.44,81.94,0.94,2.52
ashland,1992,5,21.9,72.31,0.57,1.34
ashland,1992,6,19.56,77.57,0.41,1.09
ashland,1992,7,18.04,81.65,0.41,1.12
ashland,1992,8,17.17,77.36,0.57,1.23
ashland,1992,9,12.7,73.74,0.66,1.52
ashland,1993,4,14.96,75.22,0.99,3.17
ashland,1993,5,16.7,78.13,0.49,1.32
ashland,1993,6,18.94,81.08,0.43,1.11
ashland,1993,7,18.4,82.33,0.43,1.09
ashland,1993,8,17.52,80.68,0.46,1.09
ashland,1993,9,12.12,77.82,0.67,1.51
ashland,1994,4,16.33,72.32,1.1,2.64
ashland,1994,5,21.73,72.29,0.53,1.09
ashland,1994,6,20.93,78.29,0.41,1.2
ashland,1994,7,20.3,78.68,0.4,1.11
ashland,1994,8,17.76,75.92,0.53,1.35
ashland,1994,9,12.27,80.31,0.55,1.25
ashland,1995,4,15.22,75.12,1.06,3.32
ashland,1995,5,18.56,75.54,0.53,1.21
ashland,1995,6,21.72,77.09,0.4,1.13
ashland,1995,7,19.64,78.35,0.43,1.03
ashland,1995,8,16.58,77.42,0.47,1.13
ashland,1995,9,14.39,74.9,0.62,1.47
ashland,1996,4,18.3,85.78,0.96,2.43
ashland,1996,5,20.94,75.16,0.49,1.44
ashland,1996,6,18.96,83.47,0.4,1.27
ashland,1996,7,19.52,84.29,0.41,1.09
ashland,1996,8,20.65,78.19,0.47,1.2
ashland,1996,9,12.69,81.17,0.62,1.3
ashland,1997,4,18.7,76.08,1.04,3.57
ashland,1997,5,18.86,77.8,0.56,1.48
ashland,1997,6,22.25,80.57,0.4,1.14
ashland,1997,7,20.71,82.42,0.39,1.08
ashland,1997,8,17.26,79.97,0.54,1.16
ashland,1997,9,13.54,77.94,0.75,1.6
ashland,1998,4,18.77,71.06,0.98,2.59
ashland,1998,5,23.66,72.23,0.53,1.25
ashland,1998,6,20.0,79.12,0.43,1.29
ashland,1998,7,23.33,71.99,0.51,1.06
ashland,1998,8,19.01,72.32,0.59,1.14
ashland,1998,9,15.33,69.81,0.72,1.37
ashland,1999,4,16.35,75.83,0.93,2.44
ashland,1999,5,18.88,75.85,0.52,1.2
ashland,1999,6,19.96,80.84,0.42,1.11
ashland,1999,7,22.23,81.25,0.43,0.9
ashland,1999,8,17.45,79.78,0.55,1.55
ashland,1999,9,14.41,75.3,0.72,1.59
ashland,2000,4,15.29,71.6,1.13,2.94
ashland,2000,5,20.25,70.66,0.54,1.37
ashland,2000,6,18.93,75.85,0.43,1.02
ashland,2000,7,20.55,74.09,0.45,1.21
ashland,2000,8,17.52,71.18,0.6,1.3
ashland,2000,9,13.78,62.61,0.76,1.44
ashland,2001,4,14.01,79.07,0.98,2.63
ashland,2001,5,18.49,78.08,0.5,1.14
ashland,2001,6,21.13,81.31,0.43,1.14
ashland,2001,7,21.37,76.31,0.4,1.12
ashland,2001,8,20.22,74.55,0.56,1.22
ashland,2001,9,13.66,76.4,0.68,1.48
ashland,2002,4,14.75,78.27,1.03,3.32
ashland,2002,5,20.58,74.88,0.63,2.12
ashland,2002,6,19.58,81.7,0.4,0.97
ashland,2002,7,22.23,76.9,0.4,1.0
ashland,2002,8,18.36,76.83,0.6,1.69
ashland,2002,9,13.61,79.02,0.59,1.26
ashland,2003,4,16.79,77.26,1.12,2.9
ashland,2003,5,20.36,75.48,0.54,1.63
ashland,2003,6,21.36,81.53,0.39,1.22
ashland,2003,7,22.18,78.75,0.41,1.17
ashland,2003,8,19.1,74.29,0.52,1.51
ashland,2003,9,13.52,70.76,0.72,1.56
ashland,2004,4,16.48,76.06,0.95,2.45
ashland,2004,5,17.57,76.97,0.55,1.32
ashland,2004,6,21.8,78.22,0.44,1.09
ashland,2004,7,21.0,77.05,0.41,1.0
ashland,2004,8,17.36,75.49,0.63,1.63
ashland,2004,9,14.07,74.9,0.57,1.95
ashland,2005,4,17.25,71.61,0.93,2.25
ashland,2005,5,16.94,75.84,0.57,1.48
ashland,2005,6,21.24,75.71,0.46,1.08
ashland,2005,7,23.16,69.39,0.45,1.15
ashland,2005,8,18.44,67.18,0.58,1.13
ashland,2005,9,14.06,66.31,0.68,1.51
ashland,2006,4,17.3,70.63,0.93,3.15
ashland,2006,5,18.69,76.89,0.55,1.72
ashland,2006,6,24.09,67.42,0.43,1.1
ashland,2006,7,23.84,59.98,0.48,1.09
ashland,2006,8,18.82,67.93,0.63,1.28
ashland,2006,9,13.83,71.44,0.73,1.38
ashland,2007,4,18.68,71.15,1.06,2.86
ashland,2007,5,18.64,70.26,0.59,1.35
ashland,2007,6,23.62,65.15,0.47,1.13
ashland,2007,7,22.57,63.15,0.44,1.18
ashland,2007,8,18.23,63.73,0.54,1.25
ashland,2007,9,12.78,71.57,0.66,1.67
ashland,2008,4,14.89,79.41,1.13,3.17
ashland,2008,5,20.05,75.86,0.54,1.74
ashland,2008,6,20.36,79.1,0.43,1.05
ashland,2008,7,22.31,76.81,0.45,1.11
ashland,2008,8,20.5,69.15,0.57,1.33
ashland,2008,9,12.88,76.07,0.68,1.26
ashland,2009,4,17.55,73.27,1.0,2.41
ashland,2009,5,21.42,69.18,0.59,1.65
ashland,2009,6,20.62,73.77,0.44,1.13
ashland,2009,7,20.89,71.08,0.5,1.28
ashland,2009,8,17.36,74.25,0.57,1.39
ashland,2009,9,15.38,71.58,0.61,1.8
ashland,2010,4,18.72,69.65,0.98,2.48
ashland,2010,5,20.43,69.84,0.55,1.36
ashland,2010,6,18.12,80.11,0.38,1.1
ashland,2010,7,21.67,77.56,0.49,1.16
ashland,2010,8,18.86,78.91,0.63,1.47
ashland,2010,9,13.08,80.91,0.69,1.61
ashland,2011,4,15.59,78.75,1.1,2.68
ashland,2011,5,18.12,78.87,0.56,1.79
ashland,2011,6,20.16,81.57,0.42,1.3
ashland,2011,7,21.93,80.13,0.43,1.01
ashland,2011,8,19.18,76.5,0.56,1.24
ashland,2011,9,13.82,75.15,0.71,1.78
ashland,2012,4,17.98,71.78,0.99,2.39
ashland,2012,5,18.76,73.18,0.54,1.08
ashland,2012,6,22.58,74.95,0.51,1.47
ashland,2012,7,23.06,73.86,0.53,1.11
ashland,2012,8,19.83,68.08,0.68,1.34
ashland,2012,9,15.7,64.81,0.77,1.47
ashland,2013,4,14.88,80.19,1.17,2.84
ashland,2013,5,17.84,79.67,0.58,1.39
ashland,2013,6,19.45,83.6,0.44,1.18
ashland,2013,7,21.41,81.85,0.54,1.28
ashland,2013,8,19.45,78.07,0.57,1.22
ashland,2013,9,14.38,78.12,0.71,1.3
ashland,2014,4,14.14,82.0,0.97,2.74
ashland,2014,5,19.14,79.8,0.46,1.1
ashland,2014,6,19.74,83.63,0.46,1.24
ashland,2014,7,20.98,82.72,0.54,1.28
ashland,2014,8,16.92,83.3,0.53,1.22
ashland,2014,9,13.99,82.42,0.71,1.55
ashland,2015,4,18.34,73.44,0.99,2.86
ashland,2015,5,18.5,79.52,0.56,1.39
ashland,2015,6,21.09,81.95,0.46,1.36
ashland,2015,7,22.21,77.66,0.6,1.37
ashland,2015,8,16.74,78.6,0.65,1.53
ashland,2015,9,14.67,76.3,0.61,1.24
ashland,2016,4,16.31,78.32,1.08,2.78
ashland,2016,5,19.87,75.35,0.55,1.26
ashland,2016,6,21.34,81.6,0.48,1.08
ashland,2016,7,22.1,82.07,0.54,1.24
ashland,2016,8,17.79,82.51,0.61,1.25
ashland,2016,9,12.81,82.97,0.77,1.66
ashland,2017,4,14.21,82.09,0.99,2.81
ashland,2017,5,17.87,80.27,0.54,1.79
ashland,2017,6,21.11,81.21,0.47,1.1
ashland,2017,7,22.35,81.48,0.48,1.04
ashland,2017,8,16.82,81.71,0.65,1.39
ashland,2017,9,13.84,82.17,0.66,1.33
ashland,2018,4,17.27,76.63,1.22,3.19
ashland,2018,5,22.1,75.38,0.47,1.23
ashland,2018,6,20.67,82.11,0.39,0.88
ashland,2018,7,22.38,78.66,0.52,1.18
ashland,2018,8,16.36,80.91,0.59,1.24
ashland,2018,9,13.08,81.46,0.69,1.63
ashland,2019,4,13.33,79.8,0.99,2.7
ashland,2019,5,19.28,80.91,0.56,1.59
ashland,2019,6,22.76,79.63,0.44,1.14
ashland,2019,7,22.79,79.04,0.53,1.3
ashland,2019,8,19.53,79.72,0.69,1.45
ashland,2019,9,11.71,84.77,0.65,1.57
ashland,2020,4,18.17,77.78,1.09,2.31
ashland,2020,5,20.78,77.26,0.57,1.32
ashland,2020,6,23.99,79.55,0.51,1.03
ashland,2020,7,22.11,81.11,0.58,1.2
ashland,2020,8,18.27,82.25,0.63,1.34
ashland,2020,9,13.19,78.67,0.76,1.73
ashland,2021,4,15.76,78.12,0.91,2.08
ashland,2021,5,19.97,75.52,0.58,1.44
ashland,2021,6,23.96,76.48,0.46,1.41
ashland,2021,7,22.03,73.23,0.52,1.24
ashland,2021,8,18.3,73.3,0.63,1.4
ashland,2021,9,15.59,71.79,0.74,1.44
ashland,2022,4,13.03,80.03,1.18,2.69
ashland,2022,5,19.0,78.07,0.52,1.48
ashland,2022,6,23.42,75.61,0.49,1.27
ashland,2022,7,22.02,75.71,0.49,1.17
ashland,2022,8,18.39,77.45,0.59,1.29
ashland,2022,9,14.51,74.3,0.66,1.41
ashland,2023,4,15.02,89.77,1.25,3.55
ashland,2023,5,20.39,77.55,0.48,1.62
ashland,2023,6,22.34,80.5,0.39,1.12
ashland,2023,7,21.14,79.63,0.52,1.16
ashland,2023,8,18.06,79.62,0.59,1.32
ashland,2023,9,12.11,80.9,0.61,1.19
ashland,2024,4,15.58,76.46,1.14,3.53
ashland,2024,5,19.44,78.21,0.52,1.24
ashland,2024,6,19.72,81.15,0.49,1.29
ashland,2024,7,21.91,78.29,0.53,1.16
ashland,2024,8,16.87,78.29,0.62,1.28
ashland,2024,9,17.04,70.41,0.63,1.48
barron,1984,4,18.01,75.84,4.07,9.96
barron,1984,5,20.05,76.04,2.93,9.11
barron,1984,6,20.14,82.32,3.13,9.13
barron,1984,7,21.0,77.97,2.49,7.21
barron,1984,8,16.97,78.09,2.21,6.54
barron,1984,9,14.14,72.17,2.91,7.5
barron,1985,4,16.62,79.9,3.53,8.82
barron,1985,5,19.75,75.88,3.06,8.72
barron,1985,6,20.95,75.3,2.89,8.77
barron,1985,7,21.67,70.54,2.56,7.29
barron,1985,8,15.81,73.2,2.93,6.89
barron,1985,9,12.3,81.88,3.05,6.94
barron,1986,4,15.35,80.33,4.07,10.1
barron,1986,5,20.84,77.94,2.82,9.23
barron,1986,6,21.7,79.06,3.07,7.01
barron,1986,7,19.33,82.93,2.41,6.54
barron,1986,8,18.04,78.62,2.69,5.82
barron,1986,9,11.25,83.41,2.76,6.55
barron,1987,4,18.0,70.41,3.08,9.72
barron,1987,5,19.56,73.32,3.21,7.76
barron,1987,6,23.12,64.48,2.65,7.27
barron,1987,7,20.17,74.52,2.63,7.36
barron,1987,8,16.8,74.15,2.62,6.62
barron,1987,9,14.16,73.56,2.64,6.95
barron,1988,4,18.66,65.59,3.29,8.05
barron,1988,5,21.56,66.25,3.13,9.36
barron,1988,6,23.77,53.48,2.85,6.91
barron,1988,7,22.59,46.1,2.76,7.36
barron,1988,8,17.29,61.95,2.98,7.52
barron,1988,9,12.09,68.16,3.22,7.18
barron,1989,4,15.85,72.92,3.6,8.72
barron,1989,5,19.44,73.54,2.79,8.63
barron,1989,6,20.56,75.39,2.54,6.74
barron,1989,7,22.56,68.19,2.1,6.18
barron,1989,8,18.93,68.53,2.48,6.94
barron,1989,9,16.23,68.56,2.99,9.38
barron,1990,4,17.42,71.71,3.76,8.92
barron,1990,5,19.32,70.8,2.82,8.45
barron,1990,6,19.72,80.55,3.09,7.38
barron,1990,7,21.03,75.76,2.54,6.7
barron,1990,8,18.63,76.23,2.5,6.32
barron,1990,9,13.17,76.56,2.79,6.85
barron,1991,4,16.29,76.88,3.64,9.38
barron,1991,5,16.2,83.65,2.89,7.33
barron,1991,6,21.69,81.2,2.66,6.8
barron,1991,7,21.46,79.8,2.42,6.31
barron,1991,8,18.83,75.01,2.47,5.84
barron,1991,9,12.44,76.02,3.16,8.86
barron,1992,4,13.62,83.8,3.25,7.43
barron,1992,5,21.77,74.37,3.03,9.06
barron,1992,6,20.01,74.34,2.44,8.43
barron,1992,7,18.46,78.41,2.33,7.24
barron,1992,8,17.87,71.95,2.51,8.68
barron,1992,9,12.69,72.23,3.41,7.78
barron,1993,4,15.34,73.49,3.44,8.74
barron,1993,5,16.8,77.63,3.15,7.25
barron,1993,6,18.63,81.32,3.07,7.74
barron,1993,7,18.59,82.98,2.89,7.71
barron,1993,8,17.16,82.28,2.38,6.12
barron,1993,9,12.05,78.65,3.08,8.39
barron,1994,4,16.52,72.04,3.77,9.78
barron,1994,5,22.48,72.64,2.94,8.13
barron,1994,6,21.59,78.42,2.47,8.31
barron,1994,7,20.52,79.01,2.56,5.95
barron,1994,8,18.19,75.02,2.52,7.72
barron,1994,9,12.67,80.16,2.61,7.38
barron,1995,4,14.57,75.18,3.55,10.49
barron,1995,5,18.68,75.01,3.2,8.79
barron,1995,6,22.01,79.0,2.2,6.37
barron,1995,7,20.14,78.97,2.84,6.81
barron,1995,8,15.72,82.82,2.57,6.29
barron,1995,9,14.75,76.03,2.59,6.91
barron,1996,4,18.35,80.55,3.42,7.59
barron,1996,5,19.64,76.61,2.84,6.38
barron,1996,6,18.48,81.72,2.53,5.85
barron,1996,7,20.45,80.05,2.51,6.19
barron,1996,8,20.5,73.86,2.42,5.92
barron,1996,9,13.43,72.97,2.64,6.76
